message_id,label,catCode,plaintext,lang,translation,label_llama,tweet_lang
1.57E+18,pro-immigration,1,"@Estadao @EstadaoInter Claro que não haverá retrocesso, ela só é fã do Mussolini, usa frases dele e é contra por exemplo... de lei a favor dos #LGBTQIA+ imigrantes, aborto. é uma bolsonara de saia #bolsonarocorrupto",pt," Clearly, there will be no regression, she's only a fan of Mussolini, uses his phrases and is against, for example, the law in favor of #LGBTQIA+ immigrants, abortion. She's a Bolsonaro in a skirt #BolsonaroCorrupt",pro-immigration,pt
1.54E+18,unrelated,4,"Em delação, Marcos Valério diz que administrava caixa clandestino do PT com R$ 100 milhões #CNNBrasil | notícias da @CNNBrasil https://t.co/2OU4BQsC5h",pt,Marcos Valério claims to have managed a secret cash box of the PT with R$ 100 million,unrelated,pt
1.56E+18,anti-immigration,2,"@irapmartins @nattye essa brasileirada que vai pra lá e deixa a ideia brega mas é uma cidade muito legal.  comida boa, comunidade incrível de imigrantes, bem artística.  acho que muita gente esquece que tem tanto lugar pra visitar e brasileiro gosta de ir pra miami pra ostentar. é ridículo mesmo",pt," I'm not sure what you're referring to, but I'd be happy to help you with your question.",unrelated,pt
1.58E+18,unrelated,4,@victorvsx2 @TakashiCastro @vascaodazoeira Tá aí irmão https://t.co/8O59Ortx4R,pt,Is there brother?,unrelated,pt
1.51E+18,unrelated,4,"#tbt❤️ em Meu Lar, Meu Refugio Minha Paz https://t.co/yweo2WtmRi",pt," #tbt My Home, My Refuge My Peace",unrelated,pt
1.53E+18,unrelated,4,Cuiabá é um time de refugos Tomar gol pra esse time é um atestado de incompetencia e que nosso elenco é uma merda,pt," Cuiabá is a team of rejects

Taking a goal for this team is a statement of incompetence and that our squad is trash.",unrelated,pt
1.51E+18,unrelated,4,"@Ricellyn1 @picapauzueiroo @CorreiosBR @shopee_br Caminhão do Mercado Livre. E parece que eu moro em uma área de risco? Eu moro a 240 metros da agência. Acho que vc tem problemas. E mais, quem comprou foi a minha filha. Eu nunca comprei nada nesse site de refugo. https://t.co/pCyvcdRSLA",pt," I'm on Shopee. It seems I live in a high-risk area. I live 240 meters from the post office. I think you have problems. And, besides, it was my daughter who bought it. I never bought anything on this dump site.",unrelated,pt
1.48E+18,unrelated,4,Drinking an 1824 Imigração Export by @imigracao1824 @ Barreto's House — https://t.co/qZJ3LBO6ak,pt,Drinking a 1824 Immigration Export by @imigracao1824 @ Barreto's House — https://t.co/qZJ3LBO6ak,unrelated,pt
1.56E+18,unrelated,4,Nosso Multiverso: LEANDRO MENDES TE CONVIDA PARA VER O FILME DESTRUIÇÃO TOTAL O ULTIMO REFUGIO - 2020 https://t.co/RlmPhl1DHf https://t.co/zZlbddar1n,pt,Our Multiverse: LEANDRO MENDES INVITES YOU TO SEE THE FILM DESTRUCTION TOTAL THE LAST REFUGE - 2020 https://t.co/RlmPhl1DHf https://t.co/zZlbddar1n,unrelated,pt
1.55E+18,unrelated,4,"@cy_cxs Amiga, migração de curso geralmente é pra áreas correlatas. Existe uma base curricular que a maioria adota e também tem as específicas de cada instituição. Olha no geral primeiro pra ver se encaixa.",pt," Amiga, migration of the general course is usually for related areas. There is a common curriculum that most adopt and also has specific ones for each institution. Look at it overall first to see if it fits.",unrelated,pt
1.48E+18,unrelated,4,@HotBrazyl Karalhuuuuu novinho ????...😱😱,pt,Are you a hot Brazilian?,unrelated,pt
1.57E+18,unrelated,4,E as filas no setor de migração no aeroporto de Guayaquil continuam. Preparados pro chá de aeroporto que vão levar?… https://t.co/n9zIReL9Im,pt,As lines in the migration sector at Guayaquil airport continue. Preparing for the airport tea that they will take...,unrelated,pt
1.48E+18,unrelated,4,@lucasdorefugio Eu já mandava um MAS C TÁ BRAVA?!??? 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,pt,Are you kidding me?!,unrelated,pt
1.49E+18,unrelated,4,ter acesso a streaming me deixou preguiçosa pra baixar filmes séries clandestinamente pq simplesmente é mais fácil e não tenho q esperar nada carregar,pt," The access to streaming services left me feeling lazy to download movies and series clandestinely, as it's simply easier and I don't have to wait for anything to load.",unrelated,pt
1.56E+18,unrelated,4,"@onyxlorenzoni @jairbolsonaro Penso que a gauchada vai te refugar de vereda, caixa 2! https://t.co/vf6dvZapNs",pt," I think the gauchada will reject you from the street, box 2!",unrelated,pt
1.57E+18,unrelated,4,@stelimaa16 @easyliarr @colombopcb @priscilllando O Brasil já tem uma dívida de trilhões  de reais para a população  mais pobre  pagar ...https://t.co/wYGmWEA7hh,pt,Brazil already has a debt of trillions of reais for the poor population to pay...,unrelated,pt
1.50E+18,unrelated,4,a galera já não tem nem mais vergonha de postar stories na aglomeração dos bloquinhos clandestinos,pt,The crowd no longer has any shame in posting stories on the clandestine blocks.,unrelated,pt
1.54E+18,neutral,3,@mayaraofonseca @rafa48610640 @RodrigoMenegat Eu morava também em Ruhrgebiet e lá tem bastante gente que não fala inglês. Alguns nem alemão direito falam também por serem imigrantes turcos. É uma questão geracional e também de estudo. Regiões com pessoas que não fizeram Gymnasium tendem a não falar inglês.,pt," I also lived in the Ruhr region and there are many people who don't speak English. Some Germans don't speak English either, as they are Turkish immigrants. It's a generational and educational issue. Regions with people who didn't attend the Gymnasium tend to not speak English.",neutral,pt
1.60E+18,unrelated,4,@marciatiburi @LulaOficial @UnivParis8 @Programme_PAUSE @cityofasylum @APF_IIE Não pense que vai ter descanso aqui. E esse ladrão não governará em paz.,pt,Do not think you will have rest here. And this thief will not rule in peace.,unrelated,pt
1.50E+18,unrelated,4,@luizuz @lucasdorefugio kkkkkkkkkkvsf os cara num perdoa uma,pt,@luizuz @lucasdorefugio kkkkkkkkkkvsf os cara num perdoa uma,unrelated,pt
1.60E+18,neutral,3,Tem dia que é foda a vida do imigrante...,pt,That's the crappy life of an immigrant...,neutral,pt
