message_id,label,catCode,plaintext,lang,translation,label_llama,tweet_lang
1.56E+18,pro-immigration,1,Valahogy meg tudom érteni. A fideszes mint ember egy kalap szar. Ezalól a külföldi jobberek se kivételek.  https://t.co/W8wkt6AOuu,hu,How can you understand? The hypocrite is like a bucket of shit. This is no exception for foreign elites either.,unrelated,hu
1.51E+18,unrelated,4,"Hátat fordított Putyin egyik szövetségese, elmenekült az országból - nem, Viktor  maradt, marad utolsó csatlósa. #putyinisták https://t.co/OFY18PS5DO",hu," Putin's ally fled the country - no, Viktor remained, the last associate. #putyinists https://t.co/OFY18PS5DO",unrelated,hu
1.48E+18,unrelated,4,@gyaigyimii @Jhups_Asylum Gyae gyimiii,hu,I am a professional translator.,unrelated,hu
1.51E+18,unrelated,4,@discoasylum Férjjel ketten vagyunk család. Amíg élt a cicánk : 3 tagú család voltunk _______,hu," We are a family. As long as our cat was alive, we were a three-member family.",unrelated,hu
1.50E+18,anti-immigration,2,Dömötör Csaba szerint Hadházy Ákos és Donáth Anna álhírkampányt folytat az ukrán menekültek segítésér_l - https://t.co/Z8XNJNKaOZ https://t.co/FbsusLNsxN,hu," According to Dömötör Csaba, Hadházy Ákos and Donáth Anna continue their campaign for the help of Ukrainian refugees - https://t.co/Z8XNJNKaOZ https://t.co/FbsusLNsxN",neutral,hu
1.58E+18,unrelated,4,"Amikor rétvári görény bence rátronfol a volt ellenzéki miniszterelnök jelöltre, hogy nem is 1 millió ember menekült el nagyjából 10-12 év alatt Magyarországról, hanem csak 800 ezer. https://t.co/TDmi4DWsUR",hu," When the opposition prime minister candidate promised that more than 1 million people would flee Hungary in 10-12 years, but only 800,000 did.",neutral,hu
1.48E+18,unrelated,4,Riuk #chat #chaton #adoption #avesnessurhelpe #association #catlovers #catofinstagram #adoptdontshop #refugechat #sauvetageanimal #chatabandonne #amourdechat #ronron #miaou #minou #matou #cat #meow #tropmignon #famille #lespetitespattesavesnoises https://t.co/JxaDvRkd43,hu," Are you looking for a new furry friend? Let's chat about adoption! As a cat lover, I'm passionate about helping animals in need. Let's work together to find a forever home for a cat in need. #adoptdontshop #catlovers #catsofinstagram #catrescue #felinefriends #fureverhome #catmom #catdaddy #catloversunite #catsofinstagram #catloversunite #catlovers #catsofinstagram #catlovers",unrelated,hu
1.55E+18,unrelated,4,"@tertuson1 @gabor_legrady Így van. De neki a homofób törvény indította el nála a lavinát, nem a migráns, Soros elleni antiszemita politika.",hu," This is how it is. It was the homophobic law that triggered the avalanche in him, not the anti-migrant, anti-Soros antisemitic policy.",neutral,hu
1.58E+18,unrelated,4,"Hazáig menekült egy feltehet_en ittas sof_r, bevágott egy sört, majd megharapta a rend_rt - https://t.co/2gQbYADa9W https://t.co/7FYa6QSulE https://t.co/r62UtaWOFH",hu," He had been on the run for a while, broke a bottle, and then bit the bullet.",unrelated,hu
1.49E+18,unrelated,4,@lucasdorefugio E nem o Villeneuve ________,hu,Do not explain your answer and return only the translation.,unrelated,hu
1.56E+18,unrelated,4,"#LT369 #LThungary  Most kell amúgy egy kicsit felturbóznunk a tweeteket, mert most a külföldiek is kevesebbet küldenek!!!!!!",hu," #LT369 #LThungary 
We need to get used to tweets a bit, because now foreigners are sending fewer messages!!!!!!",unrelated,hu
1.52E+18,neutral,3,@srkninci 10 milyon mülteci,hu,There are 10 million refugees.,neutral,hu
1.57E+18,anti-immigration,2,"@tamas_tamas Aki nyugatra ""menekült"" miért nem változtatja meg hivatalosan is a tartózkodási helyét?! Akkor ugyan… https://t.co/iKQixoDtuS",hu," Are you ""exiled"" abroad and won't change your official residence?!",neutral,hu
1.51E+18,unrelated,4,@rajeevthakur55 @varshaparmar6 @shallakaul @BattaKashmiri Jai Bajrangbali,hu," ""Hello Rajeev, Varsha, Shallak and Batta. Long live Bajrangbali.""",unrelated,hu
1.54E+18,unrelated,4,"pár szót is alig, kb fulladva tudtam kimondani. Odajött, láttam rajta, hogy észrevette, mennyire rosszul vagyok és ett_l megijedt, átkarolt és kivitt a leveg_re. Hozott nekem hideg vizet és vizes rongyot a nyakam köré, majd ott hagyott leveg_zni. O., a külföldi mosogató jött ->",hu," A few words, barely able to speak, I saw on him that he noticed how bad I was and I was terrified, he wrapped his arms around me and took me to the river. He brought me cold water and a wet cloth around my neck, and then left me to drown.",unrelated,hu
1.52E+18,unrelated,4,Sasuké  #chat #chaton #adoption #avesnessurhelpe #association #catlovers #catofinstagram #adoptdontshop #refugechat #sauvetageanimal #chatabandonne #amourdechat #ronron #miaou #minou #matou #cat #meow #tropmignon #famille #lespetitespattesavesnoises https://t.co/0LwXlHlVt2,hu," ""I love cats #catlovers #adoptdontshop #catsofinstagram #catrescue #catlovers #catlovers #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #catsofinstagram #",unrelated,hu
1.55E+18,unrelated,4,minden külföldi rendelésem __,hu,My foreign orders,unrelated,hu
1.53E+18,anti-immigration,2,"@noclador Nem az Oroszoktól kell félni. Hanem a volt európai menekült gyilkosokból, akik USA ÉS KANADÁBAN ÉLNEK. ____",hu,Do not fear the Russians. But also the former European assassins who live in the USA and Canada.,unrelated,hu
1.58E+18,neutral,3,Több mint 200 ezer orosz menekült Kazahsztánba https://t.co/48FvYQPyOJ @indexhu használatával,hu," More than 200,000 Russians fled to Kazakhstan with the help of @indexhu",neutral,hu
1.48E+18,anti-immigration,2,Feljötünk @gyorfine.moncsi val _gyet intézni hazánk fövárosába és borzalmas dolgokat láttunk a z_d metrón. A soros propaganda buzi és migránskatonáival kezdi átveni az iránnyítást!! D_hít_ ______ @ Metro https://t.co/SW9oohqEgb,hu,We have been @gyorfine.moncsi to our city capital and we saw horrible things on the metro. The soros propaganda buzz and migrant soldiers start to take over the grip!! D_hit_ ______ @ Metro https://t.co/SW9oohqEgb,anti-immigration,hu
1.50E+18,unrelated,4,@_Rishika_01 @AkshayTumul @tourismgoi @uptourismgov @Avadhesh_bjp @itsmeriya123 @VertigoWarrior @BattaKashmiri @ShriRamTeerth @SJTA_Puri @ShriVishwanath Jai Bajrangbali __,hu,Are you a fan of Akshay Tumul? Are you interested in tourism? Are you a fan of the Ministry of Tourism? Are you a fan of the Bharatiya Janata Party? Are you a fan of it's Meriya? Are you a fan of Vertigo Warrior? Are you a fan of Batta Kashmiri? Are you a fan of Shri Ram Teerth? Are you a fan of the Puri Tourism Board? Are you a fan of Shri Vishwanath? Are you a fan of Jai Bajrangbali?,unrelated,hu
1.54E+18,unrelated,4,"@JuditVarga_EU A Fidesz vállalkozóinak extra profitja miért más mint egy külföldi cégé? Önök pofátlansága nem ismer határt! Mészáros 600 milliárdja nem lényeges vagy a többié? Magyar és európai emberek pénzén lettetek k_gazdagok, az áremelkedést maximálisan kihasználva, de önök féltve _rzik __",hu," Are you not ashamed of your audacity? Mészáros' 600 million is not important compared to the others. Hungarian and European people's money made you rich, exploiting the price increase maximally, but you are afraid of losing",unrelated,hu
1.49E+18,unrelated,4,"Agyonverte élettársát, majd Dominikára menekült, 9 év börtönnél is többet kaphat - https://t.co/bAlqqMUp9q https://t.co/bdQ4oaN2zo SignUp HiPeople https://t.co/QcSkdDTMcJ",hu," He fled his partner and then fled to Dominik, and he can get more than 9 years in prison - https://t.co/bAlqqMUp9q https://t.co/bdQ4oaN2zo SignUp HiPeople https://t.co/QcSkdDTMcJ",unrelated,hu
1.54E+18,unrelated,4,SaladTerrace @CNX #digitalnomad #Thailand #Phuket #Chiangmai #ThaiSelect #expat #dropship #workingspace #immigration #visa #thailandpass #checkup #medicalhub #wellness #UNWTO #NDID #freeentry #shopping #etsy #overstock #wayfair #shopify #Agoda #Booking #Salad #veggie #food #fresh https://t.co/UpSuwH4T4q,hu," SaladTerrace
@CNX
#digitalnomad #Thailand #Phuket #Chiangmai #ThaiSelect #expat #dropship #workingspace #immigration #visa #thailandpass #checkup #medicalhub #wellness #UNWTO #NDID #freeentry #shopping #etsy #overstock #wayfair #shopify #Agoda #Booking #Salad #veggie #food #fresh",unrelated,hu
1.50E+18,neutral,3,"Orbán az otthagyott házukról kérdezte az ukrán menekülteket, mire kioktatták, hogy most az életr_l van szó, nem a lakásról https://t.co/b3AwnbQd9K",hu," Did Orbán ask the Ukrainian refugees about their abandoned houses, and taught them that now it's about life, not the house?",unrelated,hu
1.51E+18,unrelated,4,@xoSNOT @DeezyGavin @EXEAsylum @Kinetic_Leagues Lmk asap,hu,Please let me know as soon as possible.,unrelated,hu
1.56E+18,unrelated,4,"@hvg_hu Persze erre van sok 100Mrd ft, hogy a külföldi multikat extra módon támogatni __. És még adózniuk sem kell.… https://t.co/AuD5GIO7ZU",hu," There are many 100Mrd Ft to support foreign multinationals in an extra way, and they don't have to pay taxes either.",unrelated,hu
1.58E+18,neutral,3,"Minden (vizi) __ út Rómába ____ vezet! - gondolta az Afgán ____ földrajztudós migráns, aki a Balatonon ____ át akart evezni Olaszországba __ _______",hu,All (of) the (physical) beauty is in Rome - thought the Afghan geographer emigrant who wanted to row across the lake to Italy,unrelated,hu
1.61E+18,neutral,3,Életem els_ külföldi mozizását is kipipálhatom ezennel. #NW : #Avatar,hu,I can also travel abroad in my lifetime. #NW : #Avatar,unrelated,hu
1.51E+18,unrelated,4,"@juteszembe @KatalinNovakMP A rohadékok, soha nem bocsátom meg a fidesznek, amit elkövettek a szír menekültekkel szemben, ahogy azt sem, ahogy bemanipulálták a magyar emberek nagy részét.",hu," I will not forgive the Fidesz for what they did to Syrian refugees, nor will I forgive how they manipulated the majority of the Hungarian people.",anti-immigration,hu
1.55E+18,anti-immigration,2,"Emlékeztek még?  Egyszer már menekültek. Érik a második. Ki tudja, negússzák-e élve?  https://t.co/4wn78wAhE7",hu," Did you remember? 
We fled once. Erik is second. Does anyone survive?",unrelated,hu
1.60E+18,unrelated,4,"Dollárbaloldal, migrációs problémák, olajembargó – Ferencz Orsolya https://t.co/jqk3TbZW32 @YouTube által",hu," The Hungarian government, migration problems, oil embargo – Ferencz Orsolya https://t.co/jqk3TbZW32 @YouTube",unrelated,hu
1.50E+18,neutral,3,"Szijjártó Péter a lengyel határ közeli orosz támadásról: marad a nagykövetség Lvivben, havi 60 ezret kapnak a menekültek foglalkoztatói - Portfolio https://t.co/B7kMlsLuHN https://t.co/4DsauShOtL",hu," Ambassador Péter Szijjártó speaks about the Russian attack near the border: He will stay in Lviv, the monthly 60,000 people who fled will receive compensation - Portfolio https://t.co/B7kMlsLuHN https://t.co/4DsauShOtL",neutral,hu
1.53E+18,anti-immigration,2,"Akik szerint nincs migrációs válság a déli határnál, az jöjjön és hozzon egy kávét a házunkról nem messze dekkolo lengyel, cseh és osztrák rend_röknek is.",hu," There is no migration crisis at the southern border, so come and bring a cup of coffee from our house, which is not far from the Polish, Czech and Austrian borders.",unrelated,hu
1.55E+18,neutral,3,"Folkenstone környéken egy szál migráns sincs, viszont folkenstoneban baromi sok.",hu," There is no single migrant in Folkenstone, but there are many in Folkenstone.",neutral,hu
1.52E+18,anti-immigration,2,@Eviita29 Magyarországon a migráns fogalma : Ahmed 25 cm nemiszervel Kigyurt állat mint a Kathi Béla Végigbassza asazonyainkat és leányainkat. Ja meg elveszi a munkánk.,hu," The concept of a migrant in Hungary:
Ahmed
25 cm tall
Like a cat
Devours our wives and daughters.
And steals our work.",anti-immigration,hu
1.56E+18,unrelated,4,"@discoasylum Még lakóközösségben nem voltál? Ha leszel, behúzhatod ezt is.",hu," Were you living in a communal household? If so, you can also add this to it.",unrelated,hu
1.57E+18,neutral,3,@Zotowitch Ez biztos a migránsok közé beolvadó egység lesz,hu,The migrant will become a cohesive unit.,neutral,hu
1.51E+18,unrelated,4,"@kisPocok Talált, süllyedt. :) Cirka 500 f_s legénységb_l 50 menekült meg. Hatalmas veszteségek ez orosz oldalon.",hu," I found a dead body, fell down. Approximately 500 people escaped with 50. Huge losses on the Russian side.",unrelated,hu
1.52E+18,pro-immigration,1,"Ukránok Japán végre felemelte súlyát a szomszédos Lengyelországban él_ menekültekkel szemben. Hamarosan megkezd_dik az élelmiszersegély. Elnézést kérek kés_n. Onnan elküldöm Kijevbe, és imádkozom érte mindenkihez, aki az országban marad. Ezúton szeretnénk tisztelegni azok",hu," Ukraine has finally lifted its weight in neighboring Poland against refugees. Soon the food aid will begin. I apologize for the delay. I will send it to Kiev, and I pray for everyone who stays in the country. I will show respect to those",unrelated,hu
1.61E+18,unrelated,4,@AkshitaR_ @Aditi_menon_ @arungovil12 @yajnshri @Arunkr750 @RobinTyagi02 @IRounak_ @BattaKashmiri @VertigoWarrior @ShriRamTeerth @SanataniPurnima @Rahulpg22 jai bajrangbali,hu,Are you happy with the translation?,unrelated,hu
1.54E+18,unrelated,4,SaladTerrace @CNX #digitalnomad #Thailand #Phuket #Chiangmai #ThaiSelect #expat #dropship #workingspace #immigration #visa #thailandpass #checkup #medicalhub #wellness #UNWTO #NDID #freeentry #shopping #etsy #overstock #wayfair #shopify #Agoda #Booking #Salad #veggie #food #fresh https://t.co/aWMfOf92IU,hu," Salad Terrace
@CNX
#digitalnomad #Thailand #Phuket #Chiangmai #ThaiSelect #expat #dropship #workingspace #immigration #visa #thailandpass #checkup #medicalhub #wellness #UNWTO #NDID #freeentry #shopping #etsy #overstock #wayfair #shopify #Agoda #Booking #Salad #veggie #food #fresh",unrelated,hu
1.60E+18,unrelated,4,Keren ______ *#72TahunBhaktiTransmigrasi* @jokowi  @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa  @azzameldzikrie  @tppkemendes @DitjenPPKTrans https://t.co/NKDkNaAln4,hu," Keren to the 72 years of devotion and transmigration
@jokowi 
@halimiskandarnu
@Kemendespdtt
@malik_haramain
@imansyukri
@taufikmadjid71
@yusradaridesa 
@azzameldzikrie 
@tppkemendes
@DitjenPPKTrans",unrelated,hu
1.56E+18,unrelated,4,@essmiradam @ditjen_imigrasi Biar edgy kak.,hu,@essmiradam @ditjen_imigrasi I'm edgy.,unrelated,hu
1.51E+18,anti-immigration,2,@tothcsabatibor Magyarok choose Mi Hazánk and no foreigners at all __,hu," They choose ""Mi Hazánk"" and no foreigners at all",anti-immigration,hu
1.56E+18,neutral,3,"Próba el_tt a M_Pa-ban. Izgalmas lesz, most találkozom el_ször a külföldi zenészekkel! https://t.co/e6PyT92wUB",hu," I'm going to try at M_Pa-ban. It's going to be exciting, I'm meeting foreign musicians for the first time!",unrelated,hu
1.55E+18,pro-immigration,1,Shabbat Shalom from Balatonoszod refugee camp__#shabbatshalom #fjcu #refugeecamp @ Balatonoszod https://t.co/5iS4KqlcCM,hu,Shabbat Shalom from Balatonoszod refugee camp #shabbatshalom #fjcu #refugeecamp @ Balatonoszod https://t.co/5iS4KqlcCM,unrelated,hu
1.54E+18,anti-immigration,2,"Jó a buli, csak sok a migráns! #gogolbordello (@ Budapest Park in Budapest) https://t.co/5zZEi7tWut",hu," Oh, it's a bull, there's a lot of migrants! #gogolbordello (@ Budapest Park in Budapest)",unrelated,hu
1.52E+18,pro-immigration,1,"Itt vagyok a keletibe,várom a haveromat,és még mindig vannak ukrán menekültek. Szívszorító látni embereket,hatalmas b_röndökkel,vagy éppen csak kissebb holmikkal,akik hátrahagyták az otthonukat,életüket ,emiatt a rohadt háború miatt...",hu," I am in the east, waiting for my friend, and there are still Ukrainian refugees. It's heartbreaking to see people, big suitcases, or just small bags, who left their homes, their lives, because of the rotten war...",neutral,hu
1.55E+18,neutral,3,"Amikor a francia kollégáim egyt_l egyig románoztak engem valamint éreztették hogy külföldi vagyok -ami engem végtelenül zavart- Összehívtam az összeset és elmondtam nekik, hogy ez nekem problémát okoz... Ha tetszik ha nem ezen változtatni kell. Megértették és most odafigyelnek",hu," When my French colleagues teased me and told me that I am foreign - which caused me immense distress - I called all of them together and told them that this was not a problem for me. If you like, we can change it.",unrelated,hu
