message_id,label,catCode,plaintext,lang,translation,label_llama,tweet_lang
1552342810929598465,unrelated,4,"@NonAuWokisme La loi existe déjà, mais ce sont Le Conseil Constitutionnel et Le Conseil d'Etat et Les Associations de Défense aux immigrants qui décident. Non pas le peuple. De la démocratie à la sauce Fabionmacrus.",fr," Non-AuWokism, the law exists, but it is the Constitutional Council and the State Council and Immigrant Defense Associations that decide, not the people. Not from democracy to Fabianism.",neutral,fr
1559642927353237504,neutral,3,"#Guinée #Solidarité Il y a près de 4 ans au Maroc, je rencontrais Mohamed, Guinéen de 17 ans, dans un camp de migrants. Aujourd'hui, il est exploitant agricole dans son pays grâce à notre accompagnement @Zebunet_ #Guinée44 https://t.co/ga57xKpRQR",fr," #Guinean #Solidarity There have been four years since I met Mohamed, a 17-year-old Guinean in a migrant camp. Today, he is an agricultural entrepreneur in his country thanks to our accompaniment @Zebunet_ #Guinean44 https://t.co/ga57xKpRQR",pro-immigration,fr
1597689886018260993,pro-immigration,1,"@TPMP ""Les migrants"" sont des êtres humains et ils peuvent expliquer aux enfants pourquoi ils ont été contraints de quitter leurs pays respectifs. Nom de dieu comment des parents peuvent être en colère......",fr," ""The migrants"" are human beings and they can explain to children why they had to leave their respective countries. Good Lord, how can parents be angry...",pro-immigration,fr
1502790738706407424,neutral,3,INFO JDD. Le gouvernement précise les droits des réfugiés ukrainiens en France https://t.co/Fm6sHPDZLi via @lejdd,fr,INFO JDD. The government clarifies the rights of Ukrainian refugees in France https://t.co/Fm6sHPDZLi via @lejdd,neutral,fr
1581626135552856064,unrelated,4,@epanchjanya Aur palo refugee,fr," Epanchjanya is a Kannada word that roughly translates to ""the end"" or ""the last one"". Palo is a Kannada word that means ""refugee"".",unrelated,fr
1500205478365782018,neutral,3,"@MLP_officiel @louis_aliot C'est vrai qu'on ne distribue pas assez d'argent aux réfugiés,  nous, riches Français 😡😡😡",fr," It's true that we don't distribute enough money to refugees, us, rich French people.",pro-immigration,fr
1588810174583955458,unrelated,4,"@NoelKTshiani Je cautionne cette réflexion et je comprends ceux qui ne maîtrisent pas le corps devaient quitter l'assemblée et être poursuivis par la justice c'est une honte; l'assemblée doit être un exemple pour le peuple non un refuge pour ceux qui n'en sont pas dignes, l'exemplarité exiger",fr," Do not caution this reflection and I understand those who do not master their bodies should leave the assembly and be pursued by justice, this is an outrage; the assembly must be an example for the people, not a refuge for those who",unrelated,fr
1570795641068199937,unrelated,4,"Crise de l’énergie, nucléaire, Ukraine réforme des retraites,valeur travail,  budget, immigration,antisémitisme : la #NUPES est-elle à l’unisson sur ces dossiers ?  @sandrousseau @EELV est l’invitée ce dimanche 18 septembre à 14h10 du #ForumRadioJ sur @RadioJFrance et en vidéo https://t.co/F6zFIsPE56",fr," Is the NUPES union the only one addressing these issues: energy crisis, nuclear energy, pension reform, work value, budget, immigration, and anti-Semitism? @sandrousseau @EELV is invited to the #ForumR on Sunday, September 18 at 14:10 #",unrelated,fr
1574334116258271232,unrelated,4,Jordan Bardella pousse un coup de gueule sur l’immigration 🇫🇷 https://t.co/gjPLyq9mdi via @YouTube,fr,Jordan Bardella slaps the immigration,neutral,fr
1491083900315377667,anti-immigration,2,@vpecresse Si les habitants du Maghreb emigrent en France cest bien que leurs pays  origine sont des fachistes et incapables de gérer  leurs pays.les ancêtres de ces migrants doivent avoir honte de leurs enfants partis vivre chez les mechants infidèles promis aux flammes de l' enfer..,fr," If the inhabitants of the Maghreb emigrate to France, it is true that their countries of origin are backward and unable to manage their countries. The ancestors of these migrants must be ashamed of their children who are living with unfaithful and cruel people.",anti-immigration,fr
1569674202608795648,pro-immigration,1,"@gobeillades @francoislegault Non il a fait amalgame violence/extrêmistes/Immigrants. Vous pouvez tourner ça autant de fois que vous le voulez, la CAQ est le cousin québécois du Rassemblement national de Marine Lepen. Vous ne leurrez pas les immigrants français qui sont ici en tout cas, on vous a reconnus! https://t.co/Zwy7ooK7vo",fr," @gobeillades Francois Legault is not mixing violence, extremists, and immigrants. You can turn it as many times as you want, the CAQ is the Quebec cousin of the National Rally of Marine Le Pen. You will not deceive the immigrants.",neutral,fr
1514223290793009159,unrelated,4,"Le Qc a totalement perdu le contrôle de son immigration : ""les demandes pour de nouveaux élèves nés à l’extérieur du pays augmentent « à un rythme effréné ». Les trois quarts de ces élèves ont passé par le chemin Roxham"". https://t.co/CQqM8x7AkM",fr," Quebec has completely lost control of its immigration: ""requests for new immigrants from outside the country are increasing at an alarming rate. Three-quarters of these immigrants have passed through the Roxham route.""",neutral,fr
1502769250683002880,anti-immigration,2,"@leopard243 Un aventurier, il n'est plus réfugiés politiques où il pense à 20.000$×2= 40.000$ + la prime de victoire. Aimons la RDC",fr," Adventurer, there is no going back to politics anymore, he thinks he can earn $20,000 + $40,000 in prize money.",unrelated,fr
1532312705503268865,pro-immigration,1,"@CNEWS Cette personne,je l'es vu chez #morandini il y as quelques jours,face a #julienoudoul,on ne peut plus écouté des personnes,de son calibre, quand on critique, pour lui,la nationalité ou immigration,on doit être extrême droite.",fr," This person, I saw her at #morandini a few days ago, face to #julienoudoul, we can no longer hear people of her caliber criticizing, when it comes to nationality or immigration, one must be extremely right-wing.",unrelated,fr
1515621735139352576,pro-immigration,1,"La loi sur l’immigration proposée par LePen est bien plus radicale qu’elle ne le laisse entendre. Son projet viole les conventions européennes, les principes élémentaires de notre justice et la Déclaration universelle de 1789.  ❌Pas une seule voix pour Le Pen.❌ #NonAuRacisme",fr," The proposed immigration law by LePen is much more radical than it lets on. Its project violates European conventions, fundamental principles of our justice, and the Universal Declaration of 1789.",pro-immigration,fr
1484558502991314944,unrelated,4,@Refugedelarche @LRefuges Au revoir ma beauté...😔😪,fr,Au revoir ma beaut√é...,unrelated,fr
1592587629534609408,unrelated,4,Vernissage Exposition solo  ÉNANTIOSÉMIE  Mambo’o D27 #enantiosemie #mambood27 #parisart #artgallery #contemporaryart #paris11 #beauxarts #musee #Immigration #espoir #asile #exil #determination https://t.co/Nm0KLbTIof,fr," Vernissage of a solo exhibition 
     NANTIOS NANTIOS 
     Mambo D27 #NantiosNantios #MamboD27 #ParisArt #ArtGallery #ContemporaryArt #Paris11 #BeauxArts #Museum #Immigration #Hope #Refuge #Determination https://t.co/Nm0KLbTIof",unrelated,fr
1601605234274361345,anti-immigration,2,"@BenNissart_ Par contre les étrangers en situations irrégulières, les migrants, ont le droit de circuler en toute légalité, en agressant et violant les français 😡Ce pays marche sur la tête 😡",fr," Against foreign people in irregular situations, migrants, have the right to circulate in full legality, violating and attacking the French way of life on the head of the French country.",anti-immigration,fr
1566570388267716609,unrelated,4,"@thierry_dasylva Ils sont souvent malvoyants, peut-être qu'il parte de cet handicap la🤷‍♀️",fr," They are often blind, perhaps it is due to this handicap.",unrelated,fr
1481386944487727104,neutral,3,"Quand @lepenjm parlait déjà d’immigration, @ZemmourEric votait Mitterand.  Non Monsieur Zemmour, le RN ne vient pas sur vos sujets (immigration). On en a toujours parlé ! #FaceABFM",fr," When @lepenjm talked about the immigration, @ZemmourEric voted Mitterand. 

Not Mr. Zemmour, the RN does not come on your subjects (immigration). We have always talked about it! #FaceABFM",neutral,fr
