text,newId,message_id,label,catCode,plaintext,lang,translation,__index_level_0__,label_llama
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""#الاتحاد_الهلال مسوين زحمه ،، 😂😂😂 ما يبغور حكم أجنبي وزبطوهم بالمحلي  ومرتاحين 10 أيام 😴 ومستعدين بكامل فريقهم وعلى رأسهم  كورندو وحجازي وغروهي  ومسجلين هدف من ضربة جزاء 🤓 وكابنهم☻ الهمام يصيب حارسهم  والبلوي يصيح 😭 ويجيك ميشايل الربع يحوس مريرهم 🤣""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1320,1320,unrelated,4,#الاتحاد_الهلال مسوين زحمه ،، 😂😂😂 ما يبغور حكم أجنبي وزبطوهم بالمحلي  ومرتاحين 10 أيام 😴 ومستعدين بكامل فريقهم وعلى رأسهم  كورندو وحجازي وغروهي  ومسجلين هدف من ضربة جزاء 🤓 وكابنهم☻ الهمام يصيب حارسهم  والبلوي يصيح 😭 ويجيك ميشايل الربع يحوس مريرهم 🤣,ar,The United Arab Emirates,29,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""1-  #انجلينا_جوليت برنامج عملها وخارطة زياراتها سيمضي بحسب ما اعده خبراء  المفوضية والوكالات الأممية المتواطئين مع جماعة الحـ.وثي الارهـابـ يـة وقادتها المجرمين الدوليين،  #AngelinaJolie""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [3]. <|eot_id|>",2480,2480,neutral,3,1-  #انجلينا_جوليت برنامج عملها وخارطة زياراتها سيمضي بحسب ما اعده خبراء  المفوضية والوكالات الأممية المتواطئين مع جماعة الحـ.وثي الارهـابـ يـة وقادتها المجرمين الدوليين،  #AngelinaJolie,ar,#AngelinaJolie Her work schedule and visit itinerary will proceed as planned by UNHCR experts and UN agencies collaborating with the Houthi terrorist group and its internationally wanted criminal leaders.,58,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""🇮🇳 قالت الهند يوم السبت إنها صادرت 725 مليون دولار من الحسابات المصرفية المحلية لشركة Xiaomi الصينية بعد أن توصل تحقيق إلى أن الشركة المصنعة للهواتف الذكية قامت بتحويلات غير مشروعة إلى كيانات أجنبية عن طريق تمريرها على أنها مدفوعات امتياز.""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",2880,2880,unrelated,4,🇮🇳 قالت الهند يوم السبت إنها صادرت 725 مليون دولار من الحسابات المصرفية المحلية لشركة Xiaomi الصينية بعد أن توصل تحقيق إلى أن الشركة المصنعة للهواتف الذكية قامت بتحويلات غير مشروعة إلى كيانات أجنبية عن طريق تمريرها على أنها مدفوعات امتياز.,ar,India said on Saturday it had seized $725 million from local bank accounts of Chinese smartphone maker Xiaomi after it found that the company had made unauthorized transfers to foreign accounts by misrepresenting them as royalty payments.,68,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""السنة السادسة للهجرة.   #بوبيان_كل_ثلاثاء""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",3360,3360,unrelated,4,السنة السادسة للهجرة.   #بوبيان_كل_ثلاثاء,ar,The sixth year of the Hijra.,80,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""أفضل خطة تتزوج سعودية موظفة أو غنية عندها فلوس وتاخذ منها وتدلع الزوجة الثانية الأجنبية""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",2960,2960,unrelated,4,أفضل خطة تتزوج سعودية موظفة أو غنية عندها فلوس وتاخذ منها وتدلع الزوجة الثانية الأجنبية,ar," The most popular Saudi plan for a married woman who is wealthy and has money, and takes it and marries the second foreign wife.",70,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""انطلق اليوم الثاني لمبادرة ""skill ship""، والمقامة  بالمملكة المغربية، مشاركًا فيها وفد من دول أجنبية مختلفة، من بينهم وفد من شباب المتوسط للتنمية، مصر. #المملكة_المغربية #شباب_من_أجل_المتوسط #نعمل_من_أجل_المتوسط""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",2080,2080,unrelated,4,"انطلق اليوم الثاني لمبادرة ""skill ship""، والمقامة  بالمملكة المغربية، مشاركًا فيها وفد من دول أجنبية مختلفة، من بينهم وفد من شباب المتوسط للتنمية، مصر. #المملكة_المغربية #شباب_من_أجل_المتوسط #نعمل_من_أجل_المتوسط",ar," Today is the second day of the ""Skill Ship"" initiative, which is being held in Morocco, with a delegation from different foreign countries, including a delegation from the Mediterranean Youth for Development.",48,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""شكلك بتقرا بالمقلوب، لأ، قالت المملكة العميلة فتحت حدودها للإرهابيين.. يلي خلقوا مشكلة اللاجئين وبعدين خلتهم يعيشوا بالصحرا وباعت بناتهم، بس المشكلة الناس يا ما بتفهم أو ما بتحب تفهم.""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [1]. <|eot_id|>",3960,3960,pro-immigration,1,شكلك بتقرا بالمقلوب، لأ، قالت المملكة العميلة فتحت حدودها للإرهابيين.. يلي خلقوا مشكلة اللاجئين وبعدين خلتهم يعيشوا بالصحرا وباعت بناتهم، بس المشكلة الناس يا ما بتفهم أو ما بتحب تفهم.,ar," Your face is turned upside down, the client said, the kingdom opened its borders to terrorists, they created a problem of refugees, and then they were released and they live in the desert, and they sold their daughters, but the problem is that people do not understand or do not love to understand.",95,anti-immigration
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""ممكن تدخل صفحتي . انا والله اقدر مشاعرك وحسك الوطني تعرف من هذه الكنداكه انها الدكتوره الصحفيه بدون اسم هذه ابنتي هل تعلم الأمن حق حميدتي يبحث عنها يا ابني نحن بالغربه دورنا اكبر بكثير مما تتخيل لك حبي واحترامي بالتاكيد ما عاوز اكشف أكثر منك لا. لا لا تظلم المهاجرين""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [1]. <|eot_id|>",2640,2640,pro-immigration,1,ممكن تدخل صفحتي . انا والله اقدر مشاعرك وحسك الوطني تعرف من هذه الكنداكه انها الدكتوره الصحفيه بدون اسم هذه ابنتي هل تعلم الأمن حق حميدتي يبحث عنها يا ابني نحن بالغربه دورنا اكبر بكثير مما تتخيل لك حبي واحترامي بالتاكيد ما عاوز اكشف أكثر منك لا. لا لا تظلم المهاجرين,ar," Can you enter my page? I am God, I can understand your feelings and your national pride, I know these phrases, I am the doctor of journalism without a name, my daughter is looking for you, oh my son, we are much bigger than what you think of me, my love and my respect",62,pro-immigration
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""لا انا كونت برة ولا مهاجر  انا الى جايلك من باكر قلبى ولا البحر الهادر  عينى ولا الجمرة اليلة اليلة اليلة اليلة يا سمرا  يا سمارة اليلة يا سمرا""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",600,600,unrelated,4,لا انا كونت برة ولا مهاجر  انا الى جايلك من باكر قلبى ولا البحر الهادر  عينى ولا الجمرة اليلة اليلة اليلة اليلة يا سمرا  يا سمارة اليلة يا سمرا,ar," I am a stranger and a migrant
I came to you before
My heart and the sea are calm
My eyes and the moon are bright
The moon, the moon, the moon, oh, my love, my love, the moon",11,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""بوجود مهاجم -أبو بكر أو غيره- وتاليسكا خلفه، لا زال النصر يحتاج جناح وقلب دفاع، استمرار أنسيلمو -رغم اقتناعي- إلا أنه بيغيّر من الأولويات. وجوده كـ8 مع محور محلي يعني استمرار لشكل الوسط في الموسم الماضي. ووجود محور أجنبي ثاني يعني تتخلى عن خيار الجناح أو قلب الدفاع.""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",3840,3840,unrelated,4,بوجود مهاجم -أبو بكر أو غيره- وتاليسكا خلفه، لا زال النصر يحتاج جناح وقلب دفاع، استمرار أنسيلمو -رغم اقتناعي- إلا أنه بيغيّر من الأولويات. وجوده كـ8 مع محور محلي يعني استمرار لشكل الوسط في الموسم الماضي. ووجود محور أجنبي ثاني يعني تتخلى عن خيار الجناح أو قلب الدفاع.,ar," There is an attacker -Abu Bakr or someone else- behind him, and he remains in need of a flank and a defensive heart, the continuity of Ansalem -although he is convinced- but he changed priorities. The presence of an 8 with a local axis means the continuity of the midfield shape from the last season. The presence of a foreign axis the second means giving up on the flank or the defensive heart.",92,unrelated
