message_id,label,catCode,plaintext,lang,translation,label_llama,tweet_lang
1548579748556992512,pro-immigration,1,Si ma la colpa è del cambiamento climatico che negate su quelle stesse maledette pagine non degli immigrati,it,Is it my fault that the climate change which I deny on those same cursed pages of immigrants?,pro-immigration,it
1574102987349409792,unrelated,4,"19:00-in Calabria ancora l'affluenza più bassa d'Italia.Perché siamo terra di emigranti per studio e per lavoro (ai fuorisede nessun diritto di voto),e perché chi resiste qui è stanco e demotivato. In pochi siamo andati a votare solo per l'ostinazione di scegliere il male minore.",it," 7:00 PM - Calabria still has the lowest affluence in Italy. Why are we a land of emigrants for study and work (outside of which there is no right to vote), and why is the one who resists here tired and demotivated? In few people have gone to vote only for the stubbornness of choosing the lesser evil.",unrelated,it
1590734501009035269,anti-immigration,2,"Ricordo quando gendarmi francesi armati entrarono in territorio italiano per scaricare clandestini , dovere i coglioni di sinistra che oggi ragliano come somari",it," I remember when French gendarmes armed entered Italian territory to unload clandestines, the guts of the left that today kick like porters.",anti-immigration,it
1499426535425593344,unrelated,4,@farfromrefuge_ @shouldhaveaduck Que bonitinho. Hahahahaha,it,You are very cute. Hahahahaha.,unrelated,it
1557303452358811648,neutral,3,Un parallelo tra immigrati che delinquono rimanendo impuniti e immigrati integrati che sgobbano e subiscono danni i… https://t.co/YxVdTI6WOh,it,A parallel between undocumented immigrants who commit crimes and go unpunished and integrated immigrants who beg and suffer damage to...,pro-immigration,it
1590687718811783168,neutral,3,"Rappresenta e come la gran maggioranza degli a parte quei quattro gatti Come lei Migranti, Braidotti attacca Meloni: “Non rappresenta l'Italia"". E Gruber interviene https://t.co/bBsQRhaYJa",it," Representing and like the majority of the other four cats, Braidotti attacks Meloni: ""She does not represent Italy"". And Gruber intervenes.",neutral,it
1496745005142192129,unrelated,4,"#Putin: ""Non è un'invasione, ma un'operazione militare speciale"" Il cameriere al ristorante stellato: ""Non è una caprese, ma trionfo di San Marzano su letto di bufala""",it," Putin: ""It's not an invasion, but a special military operation""
The waiter at the Michelin-starred restaurant: ""It's not a Caprese, but a triumph of San Marzano tomatoes on a bed of buffalo mozzarella""",unrelated,it
1502593842591248388,unrelated,4,Contro l’invasione russa e per l’Ucraina.,it,Control of the Russian invasion and for Ukraine.,unrelated,it
1587459902850596871,unrelated,4,"@matteoricci Qui sotto una definizione di ""invasione"" (Treccani). Alla lettera, studenti entrati per seguire le lezioni e che poi non escono più dall'edificio non si possono accusare di averlo invaso. E se protestano ""alla Gandhi"" non mettono neppure in pericolo ordine e salute pubblici. https://t.co/rwQHRKk6nz",it," Students who entered the building to attend classes and did not leave again cannot be accused of invading it. And if they protest ""Gandhi-style"" they do not even put public order and health at risk.",unrelated,it
1597901774874365953,unrelated,4,"@age_of_VIRGO @succhett @andinika11 @eleonely @TifosoAtipico @statussquatter @acino2020 @Blowjoint @pdnetwork @Sinistrait_ Se parli di migranti , Lgbt , cannabis e antifascismo , diritto alla casa, diritti dei detenuti, si, tutti noi. Se ne sostieni altre non saprei",it," When it comes to migrants, LGBT, cannabis, and anti-fascism, housing rights, prisoners' rights, yes, we all do. I don't know about others.",pro-immigration,it
1510715857860800513,unrelated,4,"@La7tv E pensare che il Vietnam aveva chiesto l'intervento degli USA, contro l'invasione dei vietcong, comunisti, guarda caso!!! Mi spiace, stavolta, Veltroni, ma non guerra, quindi, d'occupazione, ma di liberazione.",it," I think that Vietnam asked for the US intervention, against the invasion of the Vietcong, coincidentally!!! I'm sorry, Veltroni, but not war, therefore, occupation, but liberation.",unrelated,it
1576490650224451584,neutral,3,"@OrioliPaolo @Storace vabbè, ma ci sta. il business delle importazioni di migranti con la mafia  è ampiamente provato dalla Magistratura.",it," Oh well, but it's there. The business of importing migrants with the mafia is widely proven by the judiciary.",neutral,it
