text,newId,message_id,label,catCode,plaintext,lang,__index_level_0__,label_llama
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@JudiciaryGOP @Jim_Jordan The immigrant problem is because of our policies for allowing people to become citizens is broken. Putting up a wall and locking people out it’s not the way to do it. Title 42 is about Covid restrictions that you encourage people not to follow.""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [1]. <|eot_id|>",1.60E+18,1.60E+18,pro-immigration,1,@JudiciaryGOP @Jim_Jordan The immigrant problem is because of our policies for allowing people to become citizens is broken. Putting up a wall and locking people out it’s not the way to do it. Title 42 is about Covid restrictions that you encourage people not to follow.,en,1245,pro-immigration
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@FoxNews I know several local farmers who are only saved by the migrant workers that come in March and go home to their families in November!  They do the low paying jobs home grown folk won’t lower themselves to do!  They also do 3 days work in one day! Stop twisting the reality!""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [1]. <|eot_id|>",1.58E+18,1.58E+18,pro-immigration,1,@FoxNews I know several local farmers who are only saved by the migrant workers that come in March and go home to their families in November!  They do the low paying jobs home grown folk won’t lower themselves to do!  They also do 3 days work in one day! Stop twisting the reality!,en,96,pro-immigration
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""""Many foreigners"" you realise those ""foreigners"" are students as well 🙈""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [3]. <|eot_id|>",1.57E+18,1.57E+18,neutral,3,"""Many foreigners"" you realise those ""foreigners"" are students as well 🙈",en,519,neutral
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@PramilaJayapal The best option is to STOP immigration for good. Specially those who come here for handouts.""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [2]. <|eot_id|>",1.60E+18,1.60E+18,anti-immigration,2,@PramilaJayapal The best option is to STOP immigration for good. Specially those who come here for handouts.,en,1422,anti-immigration
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""We are caught by police whilst exploring a massive, abandoned asylum in Ireland, with working electricity and rare architecture. You can watch the video now here: https://t.co/ELkvb240RX #abandoned #urbex #urbanexploration #photography https://t.co/g8huCeo6Yf""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1.57E+18,1.57E+18,unrelated,4,"We are caught by police whilst exploring a massive, abandoned asylum in Ireland, with working electricity and rare architecture. You can watch the video now here: https://t.co/ELkvb240RX #abandoned #urbex #urbanexploration #photography https://t.co/g8huCeo6Yf",en,236,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""Join us next week on Instagram Live, as the Executive Director of the Mayor’s Office of International & Immigrant Affairs and the Director of the Mayor’s Division of LGBTQ Affairs discuss transatlantic relations from am equity lens. https://t.co/lJRxHIRCV3""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [3]. <|eot_id|>",1.59E+18,1.59E+18,neutral,3,"Join us next week on Instagram Live, as the Executive Director of the Mayor’s Office of International & Immigrant Affairs and the Director of the Mayor’s Division of LGBTQ Affairs discuss transatlantic relations from am equity lens. https://t.co/lJRxHIRCV3",en,1408,neutral
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""To the former child migrants, who came t https://t.co/8tSoUT0M70""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1.53E+18,1.53E+18,unrelated,4,"To the former child migrants, who came t https://t.co/8tSoUT0M70",en,1263,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""Shameful visa delays continue for Ukrainian refugees | Letters  https://t.co/Iwx5SLaTIT""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [1]. <|eot_id|>",1.53E+18,1.53E+18,pro-immigration,1,Shameful visa delays continue for Ukrainian refugees | Letters  https://t.co/Iwx5SLaTIT,en,1294,pro-immigration
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""It isn't just the @UKLabour leadership, it is their support of any minority group to the exclusion of everyday working folk. #gender zealots #foreign criminals #migrants/#openborders #islamists  #overseas financial support They don't care for #women, #homosexuals, #children""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [2]. <|eot_id|>",1.49E+18,1.49E+18,anti-immigration,2,"It isn't just the @UKLabour leadership, it is their support of any minority group to the exclusion of everyday working folk. #gender zealots #foreign criminals #migrants/#openborders #islamists  #overseas financial support They don't care for #women, #homosexuals, #children",en,954,anti-immigration
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""I love you more than my teddybear but pl  https://t.co/PViFwAZyLK""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1.58E+18,1.58E+18,unrelated,4,I love you more than my teddybear but pl  https://t.co/PViFwAZyLK,en,307,unrelated
