message_id,label,catCode,plaintext,lang,translation,label_llama,tweet_lang
14660,pro-immigration,1,"Griechenlands unmenschliche Behandlung irregulärer Migranten auf hoher See unterscheidet sich nicht von Hitlers Verfolgung, Völkermord und Misshandlung der Juden.  Die EU-Länder, insbesondere deutsche Intellektuelle, sollten zu dieser Situation nicht schweigen.Wenn Sie schweigen.",de," Germany's inhumane treatment of irregular migrants at sea does not differ from Hitler's persecution, genocide and mistreatment of Jews. EU countries, especially German intellectuals, should not remain silent about this situation.",pro-immigration,de
14570,neutral,3,"Für @nhile_de ist bezeichnend, dass im Einspieler keine einzige migrantische Person zu sehen war, dabei habe gerade OstDE eine vielseitige Migrationsgeschichte, die sowohl in Ost und West kaum bekannt ist.",de," For @nhile_de is characteristic, that in the audience there was not a single migrant person, whereas East Germany has a diverse migration history that is hardly known in both East and West.",neutral,de
11330,anti-immigration,2,@NancyFaeser @WELTAMSONNTAG Als Innenministerin haben sie den deutschen Volk zu  dienen und nicht irgendwelchen Ausländern die eventuell auch noch kriminell sind Asyl zu gewähren sowie einige aus der Ukraine dieses Nazi Pack. Kinder und Frauen ja aber nicht junge Männer.,de," As Interior Minister, she serves the German people and not any foreigners, who are possibly even criminals, to grant asylum. As well as some from Ukraine, children and women, but not young men.",anti-immigration,de
15290,unrelated,4,"Liebe Kinder, jetzt ist es offiziell: Für die @Wochenzeitung bin ich nicht «#links», «#schwul», «#queer-feministisch», oder «mit #Migrationshintergrund», sondern nur ein «alter» (46) Mann. Nun werde ich endlich alle Privilegien geniessen können! Patriarchat, ich komme! 😎#Ageism https://t.co/wfF7H0hzdt",de," Love kids, now it's official: For the @Wochenzeitung I am no longer «#left», «#gay», «#queer-feminist», or «with #migrant background», but just an «old» (46) man. Now I can finally enjoy all the privileges! Patriarchy, I'm coming! 😎#Ageism",unrelated,de
16730,neutral,3,"Wie viel ist uns eine ausländische Erwerbsbiografie wert? Eine Einmalzahlung von 2500 Eur, sagt die @BundesregDE .Warum es nicht genügt, hatten wir in unserem Antrag am Beispiel der jüdischen Kontingentflüchtlinge aufgeschrieben"" https://t.co/7tlDqUmBIP",de," How much is an foreign work experience worth? A one-time payment of 2500 euros, says @BundesregDE. Why it's not enough, we wrote in our application, using the example of Jewish refugee quotas.",neutral,de
12680,neutral,3,"@TamasOrb @AxelKamann Sicherlich sind die zahlen nicht immer voll akurat, aber Ukrainische Flüchtlinge sind bereits erfasst und im mai waren nur noch knapp 300T in Kurzarbeit",de," Definitely the numbers are not always accurate, but Ukrainian refugees are already being recorded and in May there were only about 300T in part-time work.",neutral,de
8450,neutral,3,@AlperUcok #Almanya nüfusunun 27 % der #Deutschlands Bevölkerung hat einen #Migrationshintergrund. https://t.co/ngT9CldDKx,de,27% of Germany's population has an immigrant background.,neutral,de
8990,unrelated,4,"@barmer_hausarzt kenn nichtmal nen Mensch mit besonderen geschweige denn schweren (lebensbedrohlich) Impfnebenwirkungen. Das sind einfach die selben dummen Menschen, die Lügen zur Klimakrise glauben, die täglich von ""illegalen Migranten"" beklaut und gemessert werden, es ist der Abschaum.",de," The doctor at Barmer doesn't even know a single person with special or severe (life-threatening) vaccine side effects.
These are simply the same stupid people who believe in the climate crisis, who are daily exploited and measured by ""illegal migrants"", it's the dregs.",anti-immigration,de
10700,unrelated,4,"@lesiavasylenko #NieWieder - es sei denn, es könnte ungemütlich werden 🤮 #StopPutinNOW #norussianoil #oilembargo @BASF_DE @Bundeskanzler @Regierung17 #Bucha #MARIUOPOL #StandWithUkraine",de," Don't say it again - unless it's unpleasant #NeverAgain - unless it's unpleasant #StopPutinNOW #russianoil #oilembargo
@BASF_DE @Chancellor @Government17 #Bucha #Mariupol #StandWithUkraine",unrelated,de
16820,unrelated,4,Wo bleiben die ostdeutschen Generalinnen...? Es sind krasse Zahlen. @NaikaForoutan & @deekaybiese82 berichten a.d.  @viadrina fulminant ü. komplexe Muster des Fortbestehens von materiellen & mentalen Ost- und West-Asymmetrien sowie migrantischen Perspektiven.  @BrueckenbauerFF https://t.co/YFj1y85ZCh,de,Where are the East German generals...? It's huge numbers. @NaikaForoutan & @deekaybiese82 report on the @viadrina sudden. complex patterns of the persistence of material and mental East-West asymmetries as well as migrant perspectives.  @BrueckenbauerFF https://t.co/YFj1y85ZCh,neutral,de
10790,unrelated,4,"@mamigration Her damit, wird sofort notiert. https://t.co/nCdTSGDJMi",de,@mamigration That will be noted immediately.,unrelated,de
14930,neutral,3,"Ich stimme es ganz zu. Stat eine Probleme mit Ukrainischen Flüchtlingen zu löschen, Deutsches Regierung muss ein Hauptproblem mit der Krieg zu erlöschen.",de,I fully agree. The German government must solve the problem of erasing problems with Ukrainian refugees.,pro-immigration,de
15200,unrelated,4,Know YOU  @Budesher  How Much #Imigrantes in Austria Österreich livings in  #Bundesheer #Austria?   BY SO IMIGRANTES. REAL NOT IN ÖSTEREICH BORN NO BUT NOW SMART(ER) PLEASE TO ME @BSchweinzer @BrigitteSchwei5 Why are by % Imigrantes Austria #Oesterreich Hauptwohnsitz here are 😉,de," How much of the immigrants in Austria live in the Bundesheer? 
By immigrants. Real not from Österreich, but now smarter. Please to me @BSchweinzer @BrigitteSchwei5
Why are the % of immigrants Austria's main residence here are 😉",anti-immigration,de
9620,neutral,3,@DerEwiggestrige das bild zeigt ukrainische flüchtlinge am ankunftszentrum für ukrainer.,de,The longest image shows Ukrainian refugees at the arrival center for Ukrainians.,neutral,de
13490,neutral,3,Ausserordentliche Situation im Asylbereich https://t.co/hSkELQHtUz,de,Exceptional situation in the asylum sector,neutral,de
