text,newId,message_id,label,catCode,plaintext,lang,translation,__index_level_0__,label_llama
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""16वीं शताब्दी के मध्य में राव खेंगारजी प्रथम द्वारा निर्मित, हमीरसर झील का नाम उनके पिता राव हमीर के नाम पर रखा गया था।  लगभग 450 साल पुरानी झील कच्छ के नमकीन शुष्क रण के बीच शांति के शाद्वल की तरह है,जो प्रवासियों और भुज के निवासियों को ताजी हवा की सांस देती है #कच्छी_भाषा #कच्छ""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1.51E+18,1.51E+18,unrelated,4,"16वीं शताब्दी के मध्य में राव खेंगारजी प्रथम द्वारा निर्मित, हमीरसर झील का नाम उनके पिता राव हमीर के नाम पर रखा गया था।  लगभग 450 साल पुरानी झील कच्छ के नमकीन शुष्क रण के बीच शांति के शाद्वल की तरह है,जो प्रवासियों और भुज के निवासियों को ताजी हवा की सांस देती है #कच्छी_भाषा #कच्छ",hi," In the middle of the 16th century, the Himesar Lake was named after Rau Khengarji I, who built it. The lake, which is about 450 years old, is like a peaceful haven in the middle of the salty, dry terrain of Kutch, providing fresh air to travelers and the inhabitants of the region.",23,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""*ब्रेकिंग न्यूज़ औरैया(यूपी)* *जिलाधिकारी के आदेश पर 10 तारीख मतगणना के दिन सभी ठेके रहेंगे बंद* *मतगणना के दिन सभी देसी विदेशी बियर भांग अन्य मादक पदार्थों की दुकानें पूर्णतया रहेंगी बंद*""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1.50E+18,1.50E+18,unrelated,4,*ब्रेकिंग न्यूज़ औरैया(यूपी)* *जिलाधिकारी के आदेश पर 10 तारीख मतगणना के दिन सभी ठेके रहेंगे बंद* *मतगणना के दिन सभी देसी विदेशी बियर भांग अन्य मादक पदार्थों की दुकानें पूर्णतया रहेंगी बंद*,hi," Breaking News and Ayodhya (UP)

*District magistrate's order, all shops will remain closed on 10th of this month*

*All desi, foreign, bear, bhang, and other intoxicating substance shops will be completely closed on the day of counting*",92,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""WerngKhunNalee @CNX #remotework #remoteworking #workremotely #WFH #coworker #workingspace #coworkingspace #mentalhealth #coworking #USDT #BNB #MATIC #SOL #NFT #BTC #cloud #ETH #Crypto #currency #workingmom #visa #immigration #coffee #Tea #chiangmai #BKK #food #cafe #lunch #soda https://t.co/WFhy3rHWCN""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1.57E+18,1.57E+18,unrelated,4,WerngKhunNalee @CNX #remotework #remoteworking #workremotely #WFH #coworker #workingspace #coworkingspace #mentalhealth #coworking #USDT #BNB #MATIC #SOL #NFT #BTC #cloud #ETH #Crypto #currency #workingmom #visa #immigration #coffee #Tea #chiangmai #BKK #food #cafe #lunch #soda https://t.co/WFhy3rHWCN,hi," WerngKhunNalee
@CNX
#remotework #remoteworking #workremotely #WFH #coworker #workingspace #coworkingspace #mentalhealth #coworking #USDT #BNB #MATIC #SOL #NFT #BTC #cloud #ETH #Crypto #currency #workingmom #visa #immigration #coffee #Tea #chiangmai #BKK #food #cafe #lunch #soda https://t.co/WFhy3rHWCN",22,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@Viperh_ Da wuya takasheni gwara dadi takasheni... adauki gawata aji da nauyi 🤣🤣🤣""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1.60E+18,1.60E+18,unrelated,4,@Viperh_ Da wuya takasheni gwara dadi takasheni... adauki gawata aji da nauyi 🤣🤣🤣,hi, You are very funny,95,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""आज शरण दो.. कल तुमको शरणार्थी बना देंगे..☺ विश्वास नही तो इतिहास उठाकर पढ़ लो कटु सत्य हैं....🤔""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1.52E+18,1.52E+18,unrelated,4,आज शरण दो.. कल तुमको शरणार्थी बना देंगे..☺ विश्वास नही तो इतिहास उठाकर पढ़ लो कटु सत्य हैं....🤔,hi," Today you will be a shelter.
Tomorrow you will be a shelter seeker.
Don't believe it, read history and know the truth.",38,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@vselenophile @davidfrawleyved @BattaKashmiri Kyonki baaki jagah to Hindu minority me hai.dum na hai""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1.57E+18,1.57E+18,unrelated,4,@vselenophile @davidfrawleyved @BattaKashmiri Kyonki baaki jagah to Hindu minority me hai.dum na hai,hi, Because there is no Muslim minority there.,57,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""82 साल का बुजुर्ग संत....Justice For Asharamji Bapu वयोवृद्ध उम्र और जीर्ण स्वास्थ्य के चलते भी जमानत का लाभ नहीं दिया जा रहा है Voice Of People being ignored.  Asaram Bapu Ji Case में विदेशी मिशनरियों के दबाव के साथ-साथ व्यक्तिगत और राजनीतिक पूर्वाग्रह झलक रहा है #PublicReviews https://t.co/4xHZuWQpiV""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [2]. <|eot_id|>",1.55E+18,1.55E+18,anti-immigration,2,82 साल का बुजुर्ग संत....Justice For Asharamji Bapu वयोवृद्ध उम्र और जीर्ण स्वास्थ्य के चलते भी जमानत का लाभ नहीं दिया जा रहा है Voice Of People being ignored.  Asaram Bapu Ji Case में विदेशी मिशनरियों के दबाव के साथ-साथ व्यक्तिगत और राजनीतिक पूर्वाग्रह झलक रहा है #PublicReviews https://t.co/4xHZuWQpiV,hi," The 82-year-old saint... Justice for Asharamji Bapu
Despite advanced age and deteriorating health, no bail is being granted.
The voice of the people is being ignored.
The influence of foreign missionaries is also visible along with personal and political bias in the Asaram Bapu case.
#PublicReviews https://t.co/4xHZuWQpiV",61,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@hemendra_tri @elonmusk @Sumitchauhaan हजारों सालों से सामाजिक,राजनेतिक, आर्थिक व्यवस्था पर कब्ज़ा जमाये बैठे विदेशी यूरेशियन संविधान औऱ लोकतंत्र के बदौलत मिले अधिकारों को भी षड़यंत्र कर छीन ले जाते हैं औऱ हमें मिले अधिकारों को आरक्षण नाम देकर रोते रहते हैं देख अपनी आँखों से सरकारी सुविधा लेने के लिए जाति बदल लेते हैं https://t.co/qJCy5vffvy""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [2]. <|eot_id|>",1.59E+18,1.59E+18,anti-immigration,2,"@hemendra_tri @elonmusk @Sumitchauhaan हजारों सालों से सामाजिक,राजनेतिक, आर्थिक व्यवस्था पर कब्ज़ा जमाये बैठे विदेशी यूरेशियन संविधान औऱ लोकतंत्र के बदौलत मिले अधिकारों को भी षड़यंत्र कर छीन ले जाते हैं औऱ हमें मिले अधिकारों को आरक्षण नाम देकर रोते रहते हैं देख अपनी आँखों से सरकारी सुविधा लेने के लिए जाति बदल लेते हैं https://t.co/qJCy5vffvy",hi," For thousands of years, the foreign Europeans have occupied and dominated the social, political, and economic systems.
They have taken away our rights, using the Constitution and democracy as a pretext.
We are left to cry out for the protection of our rights, which they call ""protection"" but actually take away.
They change their caste to get government facilities.",66,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""#abvpmaharajganj  आज निचलौल नगर में प्रवास के दौरान निचलौल नगर के कार्यकर्ताओं के साथ बैठक कर होने वाले आगामी कार्यक्रमों तथा नवीन  इकाई गठन कि योजना बनाई गई। @ABVPVoice @abvp_mahrajganj @ianandgaurav @Dhirendra9997 https://t.co/EHpXe3kCyt""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1.54E+18,1.54E+18,unrelated,4,#abvpmaharajganj  आज निचलौल नगर में प्रवास के दौरान निचलौल नगर के कार्यकर्ताओं के साथ बैठक कर होने वाले आगामी कार्यक्रमों तथा नवीन  इकाई गठन कि योजना बनाई गई। @ABVPVoice @abvp_mahrajganj @ianandgaurav @Dhirendra9997 https://t.co/EHpXe3kCyt,hi, The meeting with the workers of NIchalaul Nagar during the migration will be held tomorrow. The upcoming events and the plan for the formation of a new unit are being made.,21,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""गर्मी के मौसम में ताजा स्वदेशी गन्ने का रस अवश्य पियें, स्वदेशी, स्वरोजगार व स्वावलंबन। स्मरण रखिये गन्ने के रस का विज्ञापन कोई विदेशी कम्पनी नही करेगी। https://t.co/UuBTlqEVyo""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1.51E+18,1.51E+18,unrelated,4,"गर्मी के मौसम में ताजा स्वदेशी गन्ने का रस अवश्य पियें, स्वदेशी, स्वरोजगार व स्वावलंबन। स्मरण रखिये गन्ने के रस का विज्ञापन कोई विदेशी कम्पनी नही करेगी। https://t.co/UuBTlqEVyo",hi," Do enjoy fresh homegrown sugarcane juice during the hot season,
   homegrown, self-sufficiency, and self-reliance. Remember that no foreign company will advertise the juice of sugarcane.",35,unrelated
