message_id,label,catCode,plaintext,lang,label_llama,tweet_lang
1.60E+18,pro-immigration,1,@JudiciaryGOP @Jim_Jordan The immigrant problem is because of our policies for allowing people to become citizens is broken. Putting up a wall and locking people out it’s not the way to do it. Title 42 is about Covid restrictions that you encourage people not to follow.,en,pro-immigration,en
1.58E+18,pro-immigration,1,@FoxNews I know several local farmers who are only saved by the migrant workers that come in March and go home to their families in November!  They do the low paying jobs home grown folk won’t lower themselves to do!  They also do 3 days work in one day! Stop twisting the reality!,en,pro-immigration,en
1.57E+18,neutral,3,"""Many foreigners"" you realise those ""foreigners"" are students as well 🙈",en,neutral,en
1.60E+18,anti-immigration,2,@PramilaJayapal The best option is to STOP immigration for good. Specially those who come here for handouts.,en,anti-immigration,en
1.57E+18,unrelated,4,"We are caught by police whilst exploring a massive, abandoned asylum in Ireland, with working electricity and rare architecture. You can watch the video now here: https://t.co/ELkvb240RX #abandoned #urbex #urbanexploration #photography https://t.co/g8huCeo6Yf",en,unrelated,en
1.59E+18,neutral,3,"Join us next week on Instagram Live, as the Executive Director of the Mayor’s Office of International & Immigrant Affairs and the Director of the Mayor’s Division of LGBTQ Affairs discuss transatlantic relations from am equity lens. https://t.co/lJRxHIRCV3",en,neutral,en
1.53E+18,unrelated,4,"To the former child migrants, who came t https://t.co/8tSoUT0M70",en,unrelated,en
1.53E+18,pro-immigration,1,Shameful visa delays continue for Ukrainian refugees | Letters  https://t.co/Iwx5SLaTIT,en,neutral,en
1.49E+18,anti-immigration,2,"It isn't just the @UKLabour leadership, it is their support of any minority group to the exclusion of everyday working folk. #gender zealots #foreign criminals #migrants/#openborders #islamists  #overseas financial support They don't care for #women, #homosexuals, #children",en,anti-immigration,en
1.58E+18,unrelated,4,I love you more than my teddybear but pl  https://t.co/PViFwAZyLK,en,unrelated,en
1.52E+18,unrelated,4,@cmurf19 @KeithOlbermann @RepDLesko Are you relating immigrants to cancer?,en,unrelated,en
1.57E+18,neutral,3,'This is a new low': Ron DeSantis faces blowback after 'trafficking' migrants to Martha’s Vineyard https://t.co/1F7mXRUNgd,en,neutral,en
1.54E+18,unrelated,4,I decided to write 'True Refug. https://t.co/yM9AzJ58LO,en,unrelated,en
1.57E+18,neutral,3,"@babakabafana @collen_sambo2 @CongoMakaota @KidiPotse @Keuzaphonik @Keit_Mangope @EFFSouthAfrica @Julius_S_Malema I was just giving context, that's all. Many people are convinced every immigrant in this country is here on his account.. and you sound like one of them.",en,neutral,en
1.56E+18,neutral,3,Migrant families are being sheltered at a D.C. quarantine hotel https://t.co/ioliC36PaR,en,neutral,en
1.54E+18,unrelated,4,@SuperMayan @LazyLionsNFT Had some major fomo seeing all the pics!! I’m 100% going next year!,en,unrelated,en
1.58E+18,unrelated,4,Wildlife refuge season is here and the geese are back feasting on the eel grass. If you spot the @SEDwildlife rangers ask to have peak through their scope for close up views of these glorious winter visitors,en,unrelated,en
1.49E+18,unrelated,4,"@NataliaSylv @alex_segura No. I need to, though. Now that you've brought it to my attention.",en,unrelated,en
1.49E+18,anti-immigration,2,"@BulletPR00F03 A lot… guaranteed 6 weeks paid leave to mothers, grow economy 4% a year, stop foreign election money, appoint special prosecutor to investigate Hillary, repeal Obama care, eliminate common core, remove all undocumented immigrants. I can keep going, I’m running out of characters",en,anti-immigration,en
1.57E+18,pro-immigration,1,I love the new legal immigrant. https://t.co/22Ou5nslU7,en,pro-immigration,en
1.48E+18,unrelated,4,What #NFT should I buy today? @GutterCatGang @psychedelic_nft @BAYC2745 @LazyLionsNFT @adidasoriginals,en,unrelated,en
1.48E+18,neutral,3,"my friend doesn’t enjoy the connotation with calling her parents immigrants — so she calls them “founders” i just said, “are they raising a pre-seed round on a $10M valuation?”",en,neutral,en
1.52E+18,unrelated,4,How did nobody tell me there’s a whole new season of @beforeigners available on @hbomax now? #beforeigners,en,unrelated,en
1.59E+18,unrelated,4,"To the former child migrants, who came t  https://t.co/8BzZloDgBX",en,unrelated,en
1.59E+18,neutral,3,@SenzComon @mkraju Zero. To get a green card or any other immigration benefit you'll be fingerprinted (biometrics collection) and it is run against many criminal history databases. From federal down to the county level. This is what takes so much time in the process.,en,neutral,en
1.50E+18,pro-immigration,1,"the are thosands of ukranian refugees crossing the border into romania through Maramureș and Bucovina, some by car and some by foot, tons of them are crying and have lost everything",en,pro-immigration,en
1.53E+18,neutral,3,"@JLCWood2017 @AndyBrookeLmstn @JeanCharest_ Browns base is minority immigrant voters in the major cities, primarily in the GTA. If Brown is so confident, ask him when he will resign as Mayor & commit to running for the CPC regardless of who wins the #cpcldr race",en,pro-immigration,en
1.48E+18,unrelated,4,Good afternoon #sugarboogerscustomcakes #TaylorSwift #muchadoaboutnothing #windows7migration #throwdownhaymaker #commonsensemedia #cutiesofinstagram💕😍😙😊☺😁💋 #ｖａｐｏｒｗａｖｅ #nytcrosswordpuzzle #expertpilot #counterbalanceforklift #cowboybebop #cowboybebopedit #lelol,en,unrelated,en
1.56E+18,neutral,3,@gracemarylaura @angiebeeb Married with two children seems to qualify migrants for a low rental house if their salary is cerca 50k.,en,neutral,en
1.61E+18,pro-immigration,1,@AfghanistanInCH Thanks🙏 Dear we are a vulnerable Refugees asylum seeker family. We've been here for over(7)years with #AfghanistanUNHCR https://t.co/xDw8E9DRQg family facing life #threats #traumatized.May face urgent #risks please 🤲🏿 my👨‍👩‍👦‍👦 family safe lives protection. #help,en,pro-immigration,en
1.55E+18,pro-immigration,1,"@sharonhearne11 @susan_bagheri @psychman27 @fascinatorfun @KemiBadenoch The natural extension of your response is we trade with no-one, because we refuse to abide by anyone's rules, and end up a western North Korea. Seems a bit silly just because you don't like foreigners...",en,anti-immigration,en
1.48E+18,pro-immigration,1,The picture itself speaks 😭😭😭 #HelpRefugees_Indonesia,en,pro-immigration,en
1.61E+18,pro-immigration,1,"This, all of this. 👇🏽👇🏽👇🏽#ImmigrantRights",en,pro-immigration,en
1.53E+18,unrelated,4,"@livas_stein @DrFantasyLozada Yes, we are. 👏🏽",en,unrelated,en
1.53E+18,anti-immigration,2,"@quilts4veterans @IsaacHayes3 U need to go back 2  school; one that teaches accurate history so that you stop comparing the Irish immigrant / indentured slave 2 the KIDNAPPED African who was chained &  ENSLAVED into a LIFETIME OF CHATTEL SLAVERY ... until you show me pictures of the Irish like this, move on.. https://t.co/U4rdA4o5sF",en,pro-immigration,en
1.57E+18,neutral,3,"Just read a text published by the Daily Mail, in which the woman who took in the Ukrainian refugee complained that she was ""not enough of a refugee"" according to her expectations and educated. The trigger was the Lancôme lipstick she was using. 🙄",en,pro-immigration,en
1.61E+18,neutral,3,@KFordCB9 border security and immigration process policy are different tbh.,en,neutral,en
1.58E+18,unrelated,4,"@crashpalace @NathanStrack @AwesomeBMovies_ @eleesha @GabrielBlake_ @JoyRossDavis @MJCassell @AlexAKABatman @VoteDougWard @Johnldeboer @AuthorDougWard @baron_craze @rangerchronpod @lebronfett @BobbeBrooks_ @LiscottCee @SDagger02 @ogmmpurple_93 @dvdinfatuation Dr Dilip Mahalanabis passes away: How he came up with ORS, which revolutionised diarrhoea treatment* Dr Dilip Mahalanabis was working in overflowing refugee camps during the 1971 Bangladesh Liberation war when he came up with ORS, which The Lancet called https://t.co/iBFtAfXBra",en,unrelated,en
1.51E+18,unrelated,4,"@theousherwood When the government can not distribute vaccines, they call the army  when they can not provide ambulances, they call the army, when there are refugees, they call the army. I think it is time they recognised a good investment.  Maybe the army can get some nuclear power built?",en,anti-immigration,en
1.49E+18,unrelated,4,HandOrthoClinic @Chiangmai #chiangmai #Thailand #Phuket #Samui #PangNga #island #sandsunsea #ThaiFestival #UNWTO #coworker #coworking #workingspace #mentalhealth #health #expat #digitalnomad #immigration #food #grocery #crypto #CryptoTax #blockchain #Bitcoin #tourism #container https://t.co/5jRQsudeyC,en,unrelated,en
1.59E+18,unrelated,4,“Ogre Bare Knuckle Dojo one day👊👹”Takashi is ex.kickboxer. I was kicked to try. They were light kicking but I was s… https://t.co/Mhut5Lqt56,en,unrelated,en
1.57E+18,unrelated,4,"My spouse always said, the dumbest people he met, were in law school…case in point! In case you needed a refresher, here’s the actual definition of@human trafficking, unless the Obama’s purchased any of them, this is a false claim. https://t.co/duNdodLTqq",en,unrelated,en
1.49E+18,neutral,3,South Africans - perfectly capable of robbing the poor and shedding jobs without any help from migrants.,en,neutral,en
1.57E+18,pro-immigration,1,I love the new legal immigrants they wan https://t.co/iQWsVxmtRK,en,pro-immigration,en
1.51E+18,anti-immigration,2,"Thinking of the late,Great,Sir Winston Churchill, Britain was highly respected back then,because of him,and the likes of him! It's a shame it's not like that now! The Country's in such a mess! The amount of illegal immigrants arriving is making the UK like a third world Country !",en,anti-immigration,en
1.59E+18,anti-immigration,2,@RupertMyers @DPJHodges It’s also the bogus argument of the cuckoo land left…. Any that are refused asylum because they don’t qualify will come illegally for the same hotels and benefits,en,pro-immigration,en
1.60E+18,unrelated,4,@Faysal_Chaudary Human trafficking - slaves??,en,unrelated,en
1.50E+18,pro-immigration,1,"During whole class read, Y4 read a poem called Refugees by @brian_bilston  We discussed our initial thoughts about the poem before reading again from the bottom which gives a positive and realistic perspective. @Shoreside1234 @RainbowEduMAT @MrPowerREMAT https://t.co/xGoHUORHpN",en,pro-immigration,en
1.51E+18,anti-immigration,2,"We gave them (illegal foreigners) Ubuntu, today they are showing us middle finger  GO HOME https://t.co/4x8qKJWWrb",en,anti-immigration,en
1.57E+18,unrelated,4,@DrMGuzik @InvasionEcology Well did you? You should have! I did!,en,unrelated,en
