message_id,label,catCode,plaintext,lang,translation,label_llama,tweet_lang
1.51E+18,unrelated,4,"Acá escuchando testimonios en audiencia, familia desplazada, llega a la ciudad, el ejército se les lleva el pelao, se los entrega enfermo de la cabeza, no responden, luego lo mata un carro mientras el muchacho andaba en estado de esquizofrenia...",es,"Here, listening to testimonies in court, a displaced family arrives at the city, the army takes away their livestock, brings it back sick with a headache, they don't respond, and then it's killed by a car while the boy was in a state of schizophrenia…",unrelated,es
1.60E+18,anti-immigration,2,"VAMOS A SACAR AL MERLUZA, VAMOS A SACAR AL MERLUZA, ✌️✌️✌️VAMOS A SACAR EL MERLUZA,✌️✌️ VAMOS A SACAR AL MERLUZA, VAMOS CHILE POR UN PAÍS MEJOR, NO MAS DELINCUENCIA FUERA LOS MIGRANTES ILEGALES",es,"Let's go catch some mussels, let's go catch some mussels, 🤚🤚🤚 Let's go catch the mussels, 🤚🤚 Vamos a Chile por un país mejor, no más delincuencia fuera de los migrantes ilegales.",anti-immigration,es
1.54E+18,unrelated,4,@cristinipulis Cosas que pasan en todas las migraciones. No te quiero ni contar el martirio que llevo desde la de Banco desde el 23 de mayo. Y sigue,es,Things that happen in all migrations. I don't want to even tell you about the martyrdom I've been through since Banco's migration on May 23rd. And it continues...,neutral,es
1.53E+18,anti-immigration,2,"#Refugiados ? Estos #payasos viven en otro #mundo. La mayoría que han llegado son #delincuentes que nos #arruinaron la #ciudad . Pero la #prioridad de los #apitutados y los #Escaladores,  es otra no la de los iquiqueños #iquique. El #Delegado tremendo 🦎 y la #CamilitaCastillo.🦎 https://t.co/VG0J35Bgvq",es,These refugees? These clowns live in another world. Most of those who have arrived are criminals that ruined our city. But the priority of the beggars and the escalators is different from that of Iquiqueños. The Tremendous Delegate and Camilita Castillo.,anti-immigration,es
1.58E+18,unrelated,4,"@abermc1 Hay mucha historia detrás de esto, también mentiras y falsas invasiones que sin duda son parte de la desinformación del centro democrático  https://t.co/Br7idSe6tm",es,"There's a lot of history behind this, also lies and false invasions that are definitely part of the misinformation from the center democratic",neutral,es
1.59E+18,unrelated,4,"@tradicionfp Lasso es un gobierno de derecha y ha registrado la mayor migración de la década. Al igual que Mahuad quien también originó un éxodo masivo. En vez de acomodarse para la foto, concédase un tiempo para leer. Meme de intelectual!",es,"Lasso is a right-wing government and has recorded the highest migration of the decade. Just like Mahuad, who also caused a massive exodus. Instead of posing for the photo, take some time to read. Intellectual meme!",neutral,es
1.53E+18,anti-immigration,2,"@JuanMa_Ramirez El dinero se necesita para los funcionarios o empleados públicos PSOE, e inmigrantes ilegales. Son los auténticos españoles frente a ""caja""",es,"The money is needed for public officials or employees of PSOE, and illegal immigrants. They are the true Spaniards against ""the box"".",anti-immigration,es
1.51E+18,neutral,3,Traz! Los inmigrantes ilegales van a ser enviados a Rwanda. La migración en el mundo se está poniendo color hormiga.,es,The illegal immigrants will be sent to Rwanda. The migration in the world is getting out of control.,neutral,es
1.55E+18,unrelated,4,"I'm at Tortas Locas Hipocampo El Refugio in Santiago de Querétaro, QRO https://t.co/VtI3GO34iV",es,"I'm at Tortas Locas Hipocampo El Refugio in Santiago de Querétaro, QRO https://t.co/VtI3GO34iV",unrelated,es
1.48E+18,unrelated,4,Djokovic fue trasladado al centro de detención de inmigrantes https://t.co/MbUtRbmBsD vía @@turca08,es,Novak Djokovic was transferred to an immigration detention center https://t.co/MbUtRbmBsD via @turca08,neutral,es
1.59E+18,neutral,3,"Los flujos de migrantes venezolanos tanto del sur como expulsados bajo el titulo 42 ha ido disminuyendo. Sin embargo, eso no se ve en el caso de la @comar_sg. La semana pasada solicitaron refugio en promedio 149 venezolanos diariamente, de los cuales el 73.82% en CDMX.",es,"The flow of Venezuelan migrant refugees from both south and those expelled under Title 42 has been decreasing. However, this is not seen in the case of @comar_sg. Last week, they requested asylum on average 149 Venezuelans daily, with 73.82% of them residing in CDMX.",neutral,es
1.59E+18,neutral,3,"Inmigrantes, en su mayoría venezolanos, en la frontera de Cd.Juárez. @AndreaChavezTre #mexico #chihuahua #juarez #inmigracion https://t.co/nbQnckVHd7",es,"Migrants, mostly Venezuelans, at the border of Cd.Juárez. @AndreaChavezTre #mexico #chihuahua #juarez #immigration https://t.co/nbQnckVHd7",neutral,es
1.59E+18,unrelated,4,Hay algo que no nos quieren contar de lo que esta pasando con nataly... Y es muy poca la INFORMACIÓN @MigracionCol @CancilleriaCol,es,There's something they don't want to tell us about what's happening with Nataly... And it's very little information @MigracionCol @CancilleriaCol,unrelated,es
1.50E+18,neutral,3,@ximeneja @centredelcarme @AlmacigaSocioc1 La experiencia migratoria como herramienta fundamental de forja de carácter individual y colectivo #Cuidatoriado https://t.co/BkoGnHHMAt,es,The experience of migration is a fundamental tool for shaping individual and collective character #Cuidado https://t.co/BkoGnHHMAt,neutral,es
1.52E+18,unrelated,4,"La Comisión Nacional de Derechos Humanos (CNDH) reveló que el PRI usó por 70 años, prisiones clandestinas (Plaza de la República número 6, la oficina ’migratoria de Miguel Shultz 136 y el Campo Militar 1) para torturar y desaparecer opositores.",es,"The National Human Rights Commission (CNDH) revealed that the PRI used secret prisons (Plaza of the Republic number 6, the 'migrant' office of Miguel Shultz 136 and Campo Militar 1) for 70 years to torture and disappear opponents.",unrelated,es
1.55E+18,neutral,3,🔴Agenda informativa. -  El 2022 podría marcar un nuevo hito en la cantidad de migrantes interceptados en la frontera sur de Estados Unidos. Esta y otras noticias las reporta @sofiapisani de la @VozdeAmerica https://t.co/jbQdlSubVQ,es,"🔴Informative Agenda. -  In 2022, it could mark a new milestone in the number of migrants intercepted at the southern border of the United States. This and other news are reported by @sofiapisani from @VozdeAmerica https://t.co/jbQdlSubVQ",neutral,es
1.59E+18,unrelated,4,"@RZEROSTERN @matchasinlatte @algundiaing @tania__rd Jajaja, tiene razón, señor de Arkham Asylum, una qué va a saber. Y el otro, no tema a preguntar, podemos ponerle subtítulos al video, le podemos ahorrar el ridículo. No todas y todos estamos obligados a saberlo todo pero caray, por qué decir sandeces.",es,"Someone from Arkham Asylum is right, let's not worry about it and add subtitles to the video, we don't have to know everything anyway, why say nonsense?",unrelated,es
1.52E+18,unrelated,4,I Festival Internacional de Poesía Im Prescindibles Edición Migrantes. Doscientos poetas de varios países del mundo han llegado para dar visibilidad a lana poesía Días 23 y 24 de abril Sede: Moralzarzal (Madrid) #cultura #poesia #festival #imprescindibles #Moralzarzal #Madrid https://t.co/3ktckuxZrE,es,The International Poetry Festival Im Prescindibles Edition Migrants. Two hundred poets from various countries around the world have arrived to give visibility to migrant poetry Days 23 and 24 of April Venue: Moralzarzal (Madrid) #culture #poetry #festival #imprscindibles #Moralzarzal #Madrid https://t.co/3ktckuxZrE,neutral,es
1.51E+18,unrelated,4,"Está inflado el 65% que dice el EMOP RADICAL que debería ser democrático y dónde no estamos los usuarios muy frecuentes opinando hay miles de paradas sin: refugios señalizar plataformas etc. No cumplen los horarios frecuencias, hasta la app no funciona con exactitud @EmopMza https://t.co/9dk5yFcAEJ",es,"The 65% that the EMOP RADICAL claims should be democratic is not being represented by us frequent users, who are missing out on millions of stops without: shelters, signaling platforms, etc. They do not keep their schedules and frequencies, even with the app, which does not work accurately.",unrelated,es
1.54E+18,anti-immigration,2,"@T13 Puro discurso y nada de acción, Boric voto en contra de todas las leyes que intentaron regular el paso de inmigrantes y ahora habla de las fronteras.",es,Chile's president Gabriel Boric voted against all immigration laws that tried to regulate migrants and now talks about borders.,anti-immigration,es
1.50E+18,unrelated,4,Así  los recibe la Costa del Inmigrante  Obra de Comisión pro desarrollo de las playas del Este del departamento de Colonia https://t.co/xuoV4unjHL,es,This is how it receives Costa del Inmigrante  The Commission's Work on Beach Development in the East of Colonia Department https://t.co/xuoV4unjHL,unrelated,es
1.53E+18,unrelated,4,“INMIGRANTE ALICANTINA” https://t.co/179tpOUTgS,es,Immigrant from Alicante,unrelated,es
1.59E+18,neutral,3,@fisgonmonero @lorenzocordovav Si la mayoría de los latinos están votando por la izquierda y siguen migrando a EU.... ¿qué se puede esperar de la encuesta?,es,If most Latinos are voting left and continue to migrate to EU... what can we expect from the poll?,neutral,es
1.49E+18,unrelated,4,@Patrici75996547 @FicoGutierrez Es con respeto. Las bodegas clandestinas ejercen su papel. https://t.co/r8igKYXNIF,es,It's with respect. Clandestine cellars are doing their job.,unrelated,es
1.52E+18,unrelated,4,#DíaMundialDeLasAvesMigratotias La naturaleza vive donde el hombre la respeta. Barranquero cortejando a su pareja. https://t.co/cbtqgaXKIV,es,World Day for Migratory Birds The nature lives where man respects it. A fisherman courting his partner. https://t.co/cbtqgaXKIV,unrelated,es
