message_id,label,catCode,plaintext,lang,translation,label_llama,tweet_lang
1.48E+18,pro-immigration,1,"Dün gece kulüp 2. Sezonunu izledim. Bir bölümde Türkleri Yahudi ve Hristiyanlara karşı kışkırtıp isyan ve yağmalama başlatıyorlardı. Tüylerim ürperdi umarım tarih tekerrür etmez de aynısı Suriye, Afgan ve nice çeşitli sığınmacılar için yaşanmaz.",tr,"I watched the second season of the club in the evening. One episode was stirring up Turks against Jews and Christians and starting a rebellion and looting. My skin turned pale, I hope that this will not repeat itself and will not happen to Syrians, Afghans and others various refugees.",neutral,tr
1.49E+18,unrelated,4,vergi kaçakçılığı muhteva zürra akıllı başlı yönetebilme arnavutciğeri antipersonel Gizli Seks,tr,The Vergi ka√ßak√ßƒ±lƒ±ƒüƒ± means tax evasion. Z√ºrra akƒ±llƒ± ba≈ülƒ± means clever or wise head. Arnavutciƒüeri is a type of Albanian sausage. Antipersonel refers to anti-personnel. Gizli seks means secret sex.,unrelated,tr
1.48E+18,anti-immigration,2,"@SerdipDokumaci Avrupa'nın mali desteği kaç milyon avrodur? Bu mülteci akınıdan kim nemalanmaktadır ? Bunların sosyal ve ekonomik hakları nedir? Şeffaf bir durum yok ortada‼️ Yurdum insanın çok büyük bir çoğunluğu da durumdan hoşnut değildir,bunun hesabınında sorulacağı inacındayım #AzKaldi",tr,"What is the amount of European financial support?
 Who is responsible for this refugee influx?
 What are their social and economic rights?
 There is no transparency in the situation.
 Most of the citizens of my country are not happy with the situation, I will explain it.
 #EnoughIsEnough",neutral,tr
1.48E+18,unrelated,4,Uçmayı öğrenmeden göçmeye mecbur kalmış bir kuş gibi kalbimiz. #CahitZarifoğlu  #Şifaşiirde,tr,"We are like a bird that is eager to migrate without having learned, driven by a strong desire to leave.",unrelated,tr
1.48E+18,neutral,3,Efendim yok ırkçılık yok zenafobiydi diyerek göçmen sorunu ortadan kalkmıyor bugün kaç tane örnek gördüm göcmenlerle ilgili. Daha da olmaya devam edicek gibi gözüyor. Halkı ırkçısın faşistsin diyerek susturamaz ve problemleri çözemezsiniz.,tr,"I have not seen any examples of racism with immigrants, and it seems like it will continue to increase. You cannot silence the people and solve the problems by saying that you are a racist and a fascist.",pro-immigration,tr
1.48E+18,unrelated,4,"Geçmiş olsun ! Almanya’daki Türk göçmen ailelerine, şiddetle kınıyoruz! Acaba olay öncesi Sizmi gitmiştiniz? Merak ettim🧐 @zaferpartisi @umitozdag",tr,"We are sorry for the inconvenience!
 We are sorry for the trouble you experienced!
 Did you go before the incident? I was wondering",neutral,tr
1.48E+18,unrelated,4,@Argesh1999 Efrin İşgalinin 2021 Bilançosu  Türk Ordusu ile çeteleri 26 kez kendi içlerinde çatıştı.  @UN  @Refugees  @UNHumanRights  @coe  @UN_HRC  #TurkeyOutOfEfrîn,tr,"The 2021 Report on the Situation in Efrin 
 Turkish Army clashes with rebels 26 times within their own ranks. @UN @Refugees @UNHumanRights @coe @UN_HRC #TurkeyOutOfEfrin",neutral,tr
1.48E+18,unrelated,4,"Sezen Aksu, Rizeli Baba, Selanikten göçmeni Anneden   selâm söyleyin o cahil Adem ile Havva ya dediği şarkısı  https://t.co/nWXyOwPf9M Adem ve Havva bize göre cahil fakat onlara göre biz cahiliz.  şehirli kızlar, inek sağamaz, Sezeryansiz çocuk doğuramaz, lahana ekemez",tr,"Sezen Aksu, Rizeli Baba, Selanikten g√∂√ßmenlerden 
  sayƒ±n, ""o cahil Adem ile Havva'ya dediƒüi ≈üarkƒ±sƒ± 
 
 The song he sang to Adem and Havva, which he said 
 
 We consider Adem and Havva to be foolish, but they consider us to be foolish. 
 
 Urban girls, a cow cannot be milked, a child born without sheep is not possible, and cabbage cannot be added to a lamb.",unrelated,tr
1.48E+18,unrelated,4,"""Elbet biliyorum! Herkes bu dünyadan göçüp gidecek, ama beni sen uğurla istiyorum...""",tr,"""I know this!
 Everyone will leave this world,
 but you bring me good fortune...""",anti-immigration,tr
1.48E+18,unrelated,4,The book of boba fett 👍 beforeigners 👍 bakalım başka güzel dizi gelecek mi daha…,tr,Are there going to be more beautiful shows like Boba Fett before the new season of Beforeignals?,unrelated,tr
1.48E+18,unrelated,4,"A-Doktorun kafasina mermerle vurulmuş B-Her meslekte oluyor. A-Randevusuz bakmiyor B-Baksa ölecek mi? A-Hekimler yurtdışına göçüyor B- Hainler,nankörler gitsin B deki ahlaksiz seviyede çok insan var bu ulkede + bunlari koruyan kollayan yargi mensuplarimiz var.(Alintidir)",tr,"A- The doctor's office is made of marble and has been shot.
 B- In his profession.
 A- He doesn't show up without an appointment.
 B- Will he burn?
 A- The doctors are emigrating abroad.
 B- The thieves, the stupid ones, get out.",neutral,tr
1.49E+18,neutral,3,Genel Başkanımız Sayın Mustafa AKKOYUNLU Bey efendi ve Konya il temsilcimiz Sayın Saad EFENDİOĞLU ile beraber Konya il Göç İdaresi Müdürü Sayın Zeki Afşin BUZCU Bey efendiyi ziyaret ettiler. Öğrencilerimizi ilgilendiren ikamet konuları hakkında bilgi alındı https://t.co/971obGF44b,tr,Our General Secretary Mr. Mustafa AKKOYUNLU and our Konya representative Mr. Saad EFENDƒ∞OƒûLU visited together with Konya Migration Office Director Mr. Zeki Af≈üin BUZCU. Information was obtained about the matters concerning our students. https://t.co/971obGF44b,unrelated,tr
