text,newId,message_id,label,catCode,plaintext,lang,translation,__index_level_0__,label_llama
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""Od 11 lat, każdego tygodnia pomaga w domu dziecka, a uśmiech i radość dzieci są dla niego największą nagrodą. Przez kilka tygodni robił kanapki i rozdawał je uchodźcom z Ukrainy. Poznajcie Łukasza, naszego wolontariusza 👉👉👉 https://t.co/WrJPIwD3DQ https://t.co/BK0Dw0pbL9""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [1]. <|eot_id|>",1571755919691612160,1571755919691612160,pro-immigration,1,"Od 11 lat, każdego tygodnia pomaga w domu dziecka, a uśmiech i radość dzieci są dla niego największą nagrodą. Przez kilka tygodni robił kanapki i rozdawał je uchodźcom z Ukrainy. Poznajcie Łukasza, naszego wolontariusza 👉👉👉 https://t.co/WrJPIwD3DQ https://t.co/BK0Dw0pbL9",pl,"For 11 years, he has been helping a child in the house, and the smile and joy of the child are for him the greatest reward. For several weeks, he made sandwiches and distributed them to refugees from Ukraine. Meet Lucas, our volunteer.",31,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@MorawieckiM @JaninaOchojska To wy mordujecie uchodźców, rękami straży granicznej... To nie zwalnia ich z odpowiedzialności.""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1478372265926533121,1478372265926533121,unrelated,4,"@MorawieckiM @JaninaOchojska To wy mordujecie uchodźców, rękami straży granicznej... To nie zwalnia ich z odpowiedzialności.",pl," Are you killing refugees with the hands of the border guard... 
This does not excuse their responsibility.",60,pro-immigration
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@MEIN_GOV_PL @CzarnekP @Vasyl_Zvarych @UKRinPL @PLinUkraine @D_Piontkowski @TRzymkowski @W_Bernacki @MarzenaMachalek @wmurdzek I z tej okazji zjedli sobie Bandrowskiego batonika https://t.co/lcMuiD3cuL""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [2]. <|eot_id|>",1564912449270255616,1564912449270255616,anti-immigration,2,@MEIN_GOV_PL @CzarnekP @Vasyl_Zvarych @UKRinPL @PLinUkraine @D_Piontkowski @TRzymkowski @W_Bernacki @MarzenaMachalek @wmurdzek I z tej okazji zjedli sobie Bandrowskiego batonika https://t.co/lcMuiD3cuL,pl,They ate the Bandrowski baton,62,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@Vojtekus A co nas Brazylia? Pewnie połowa lewactwa nawet nie wie gdzie leży Brazylia.""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1587343204109762560,1587343204109762560,unrelated,4,@Vojtekus A co nas Brazylia? Pewnie połowa lewactwa nawet nie wie gdzie leży Brazylia.,pl,"Where is Voejkus in Brazil? It's easy, half of the people don't even know where Brazil is.",56,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@KMuskietorz @antoni_trzmiel @bplomecka @PR24_pl Finansowanie uchodźców bez unijnej odpowiedzi. Na razie nikt nie mówi o relokacji""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [3]. <|eot_id|>",1501934175812612103,1501934175812612103,neutral,3,@KMuskietorz @antoni_trzmiel @bplomecka @PR24_pl Finansowanie uchodźców bez unijnej odpowiedzi. Na razie nikt nie mówi o relokacji,pl,The funding of refugees without EU response. No one is talking about relocation for now.,82,neutral
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@PatrykSlowik Rozumiem z czego się to wzięło, ale wskazywanie winnych z zewnątrz (migrantów, urzędników UE) nie postawi Włoch na nogi.""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1574488585986011136,1574488585986011136,unrelated,4,"@PatrykSlowik Rozumiem z czego się to wzięło, ale wskazywanie winnych z zewnątrz (migrantów, urzędników UE) nie postawi Włoch na nogi.",pl,"I understand what it's about, but pointing fingers from outside (migrants, EU officials) won't put Italy on its feet.",91,neutral
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@LozaGdanska Depilacja brazylijska metodą zapruszenia""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1477985784963682309,1477985784963682309,unrelated,4,@LozaGdanska Depilacja brazylijska metodą zapruszenia,pl,LozaGdanska is a Brazilian method of depilation,94,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""Oglądam mecz Brazylia - Serbia. Komentuje @DarekSzpakowski Jest ten klimat, te emocje, ten głos. Nie to,co do tej pory mydliny i popelina. Panie @mszkolnikowski za to co zrobiłeś z red. Szpakowskim pocałuj się w dzyndzel pisiorze amatorze. #BrasileSerbia""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1595858854738288642,1595858854738288642,unrelated,4,"Oglądam mecz Brazylia - Serbia. Komentuje @DarekSzpakowski Jest ten klimat, te emocje, ten głos. Nie to,co do tej pory mydliny i popelina. Panie @mszkolnikowski za to co zrobiłeś z red. Szpakowskim pocałuj się w dzyndzel pisiorze amatorze. #BrasileSerbia",pl,"Brazil vs Serbia. Commented by @DarekSzpakowski. This is not the soap and water, this is the atmosphere, these emotions, this voice. Mr. @mszkolnikowski for what you did with the editor Szpakowski, kiss yourself in the mirror, amateur. #BrazilSerbia",42,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""Rząd PiS-u na PRZEGRANEJ     Emeryt w Polsce To żebrak szukający zatrudnienia. A PiS i jego dopingowce Żyją z rent i emerytur NARODU           Polskich emigrantów i rencistów https://t.co/YDSREPLOC7""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1580958022859227139,1580958022859227139,unrelated,4,Rząd PiS-u na PRZEGRANEJ     Emeryt w Polsce To żebrak szukający zatrudnienia. A PiS i jego dopingowce Żyją z rent i emerytur NARODU           Polskich emigrantów i rencistów https://t.co/YDSREPLOC7,pl," The ruling Law and Justice party has lost
    A pensioner in Poland
    A beggar looking for employment.
    And the supporters of PiS and its dopers
    Live on the state pension and the pension of the Polish emigrants and the pensioners.",39,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""Pseudopatrioci, gdy był kryzys uchodźczy na granicy z Białorusią,  krzyczeli, żeby zostawić sprawę Straży Granicznej, która wie co robi. Teraz te samy osoby krzyczą, że nie wiemy kogo wpuszczamy. Bardzo szybko przeszli z #MuremZaPolskimMundurem do #NieStojeMuremZaPolskimMundurem""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1502244153161355268,1502244153161355268,unrelated,4,"Pseudopatrioci, gdy był kryzys uchodźczy na granicy z Białorusią,  krzyczeli, żeby zostawić sprawę Straży Granicznej, która wie co robi. Teraz te samy osoby krzyczą, że nie wiemy kogo wpuszczamy. Bardzo szybko przeszli z #MuremZaPolskimMundurem do #NieStojeMuremZaPolskimMundurem",pl,"Pseudo-patriots, when there was a refugee crisis at the border with Belarus, they cried out to leave the matter to the Border Guard, who knows what they're doing. Now it's the same people crying out that we don't know who we're letting in.",63,unrelated
